name,label,bert_pred,graph_pred,summary,description
booth-core,工具,库,库," Booth core files (executables, etc.)"," Core files (executables, etc.) for Booth, ticket manager for
multi-site clusters."
hplip-common,工具,服务,服务, Files needed by the HPLIP printer and scanner drivers, Files needed by the HPLIP printer and scanner drivers.
keentune-bench,服务,工具,服务, Benchmark script running models for KeenTune, Benchmark script running models for KeenTune
texlive-memoir,库,工具,工具," Typeset fiction, non-fiction and mathematical books"," The memoir class is for typesetting poetry, fiction, non-
fiction, and mathematical works. Permissible document 'base'
font sizes range from 9 to 60pt. There is a range of page-
styles and well over a dozen chapter-styles to choose from, as
well as methods for specifying your own layouts and designs.
The class also provides the functionality of over thirty of the
more popular packages, thus simplifying document sources. The
class automatically loads an associated patch file mempatch;
the patch file may be updated from time to time, between
releases of the class itself. (The patch file stays around even
when there are no extant patches.) Users who wish to use the
hyperref package, in a document written with the memoir class,
should also use the memhfixc package (part of this bundle).
Note, however, that current versions of hyperref actually load
the package automatically if they detect that they are running
under memoir."
gedit-plugin-terminal,库,服务,服务, gedit terminal plugin, The gedit terminal plugin.
polardb,服务,库,库, An open-source database system based on PostgreSQL., PolarDB for PostgreSQL (PolarDB for short) is an open-source database system based on PostgreSQL.
dde-calendar,工具,库,库, Calendar is a smart daily planner to schedule all things in life, Calendar is a smart daily planner to schedule all things in life.
mysql,工具,库,库, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
dtkcore,库,工具,库, Deepin tool kit core modules, Deepin tool kit core modules.
texlive-sepnum,库,工具,工具," Print numbers in a ""friendly"" format"," Provides a command to print a number with (potentially
different) separators every three digits in the parts either
side of the decimal point (the point itself is also
configurable). The macro is fully expandable and not fragile
(unless one of the separators is). There is also a command
\sepnumform, that may be used when defining \the<counter>
macros."
libev-source,库,服务,服务, High-performance event loop/event model with lots of features, This package contains the source code for libev.
postgresql-odbc,库,服务,库, PostgreSQL ODBC driver," This package includes the driver needed for applications to access a
PostgreSQL system via ODBC (Open Database Connectivity)."
libpath_utils,库,工具,工具, Filesystem Path Utilities, Utility functions to manipulate filesystem pathnames
texlive-cmextra,工具,库,工具, cmextra package, cmextra package
freeradius-sqlite,服务,工具,库, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
orc-compiler,工具,库,库, Orc compiler," The Orc compiler, to produce optimized code."
dyninst-testsuite,工具,库,库, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
docker-engine,服务,工具,工具, Docker daemon binary and related utilities, Docker daemon binary and related utilities
matchbox-window-manager,工具,服务,库, Window manager for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited.

This package contains the window manager from Matchbox."
stix-fonts,其它,工具,其它, Scientific and engineering fonts," 
The mission of the Scientific and Technical Information Exchange (STIX) font
creation project is the preparation of a comprehensive set of fonts that serve
the scientific and engineering community in the process from manuscript
creation through final publication, both in electronic and print formats.

This package includes base Unicode fonts containing most glyphs for standard
use in the usual four styles."
papi,库,工具,库, Performance Application Programming Interface," PAPI provides a programmer interface to monitor the performance of
running programs."
openssh,工具,服务,库, An open source implementation of SSH protocol version 2," SSH (Secure SHell) is a program for logging into and executing
commands on a remote machine. SSH is intended to replace rlogin and
rsh, and to provide secure encrypted communications between two
untrusted hosts over an insecure network. X11 connections and
arbitrary TCP/IP ports can also be forwarded over the secure channel.

OpenSSH is OpenBSD's version of the last free version of SSH, bringing
it up to date in terms of security and features.

This package includes the core files necessary for both the OpenSSH
client and server. To make this package useful, you should also
install openssh-clients, openssh-server, or both."
deepin-editor,服务,工具,库, Simple editor for Linux Deepin, Simple editor for Linux Deepin.
texlive-knuth-local,库,工具,工具, Knuth's local information," A collection of experimental programs and developments based
on, or complementary to, the matter in his distribution
directories."
tmux,工具,服务,库,A terminal multiplexer ,"tmux is a ""terminal multiplexer.""  It enables a number of terminals (or
windows) to be accessed and controlled from a single terminal.  tmux is
intended to be a simple, modern, BSD-licensed alternative to programs such
as GNU Screen. "
rubygem-bigdecimal,库,工具,库, BigDecimal provides arbitrary-precision floating point decimal arithmetic," Ruby provides built-in support for arbitrary precision integer arithmetic.
For example:

42**13 -> 1265437718438866624512

BigDecimal provides similar support for very large or very accurate floating
point numbers. Decimal arithmetic is also useful for general calculation,
because it provides the correct answers people expect__hereas normal binary
floating point arithmetic often introduces subtle errors because of the
conversion between base 10 and base 2."
gedit-plugin-bookmarks,服务,工具,库, gedit bookmarks plugin, The gedit bookmarks plugin.
rpm-plugin-fapolicyd,库,服务,库, Rpm plugin for fapolicyd functionality, Rpm plugin for fapolicyd functionality.
papirus-icon-theme,库,工具,工具, Free and open source SVG icon theme based on Paper Icon Set," Papirus is a free and open source SVG icon theme for Linux, based on Paper
Icon Set with a lot of new icons and a few extras, like Hardcode-Tray support,
KDE colorscheme support, Folder Color support, and others.

Papirus icon theme is available in six variants:

 - Papirus (for Arc / Arc Darker)
 - Papirus Dark (for Arc Dark)
 - Papirus Light (light theme with Breeze colors)
 - Papirus Adapta (for Adapta)
 - Papirus Adapta Nokto (for Adapta Nokto)
 - ePapirus (for elementary OS and Pantheon Desktop)"
kata-containers,服务,库,库, Kata Containers version 3.x repository," 
Kata Containers version 3.x repository. Kata Containers is an open source
project and community working to build a standard implementation of lightweight
Virtual Machines (VMs) that feel and perform like containers, but provide the
workload isolation and security advantages of VMs. https://katacontainers.io/.

%gopkg"
tigervnc,工具,服务,服务, A TigerVNC remote display system," Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server."
yelp-xsl,库,工具,工具, XSL stylesheets for the yelp help browser, This package contains XSL stylesheets that are used by the yelp help browser.
brasero,工具,服务,工具, Gnome CD/DVD burning application," Simple and easy to use CD/DVD burning application for the Gnome
desktop."
hwdata,其它,库,库,Hardware identification and configuration data ,"hwdata contains various hardware identification and configuration data,
such as the pci.ids and usb.ids databases. "
policycoreutils-dbus,工具,服务,工具,SELinux policy core DBUS api ,"The policycoreutils-dbus package contains the management DBUS API use to manage
an SELinux environment. "
texlive-parallel,工具,库,工具, Typeset parallel texts," Provides a parallel environment which allows two potentially
different texts to be typeset in two columns, while maintaining
alignment. The two columns may be on the same page, or on
facing pages. This arrangement of text is commonly used when
typesetting translations, but it can have value when comparing
any two texts."
gedit-plugin-translate,服务,工具,服务, gedit translate plugin, The gedit translate plugin.
postgresql-upgrade,服务,工具,工具, Support for upgrading from the previous major release of PostgreSQL," The postgresql-upgrade package contains the pg_upgrade utility and supporting
files needed for upgrading a PostgreSQL database from the previous major
version of PostgreSQL."
texlive-cns,库,工具,工具, cns package, cns package
mythes-nn,工具,库,库, Nynorsk thesaurus, Nynorsk thesaurus.
chrpath,工具,库,库,Modify rpath of compiled programs ,"chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported. "
keentuned,服务,工具,工具, KeenTune tuning tools, KeenTune tuning tools rpm package
web-assets-filesystem,服务,库,库, The basic directory layout for Web Assets, The basic directory layout for Web Assets.
rubygem-mongo,库,服务,库, Ruby driver for MongoDB, A Ruby driver for MongoDB.
opendnssec,服务,库,服务, DNSSEC key and zone management software," OpenDNSSEC was created as an open-source turn-key solution for DNSSEC.
It secures zone data just before it is published in an authoritative
name server. It requires a PKCS#11 crypto module library, such as softhsm"
clang-tools-extra,工具,库,工具, Extra tools for clang, A set of extra tools built using Clang's tooling API.
python3-greenlet,库,工具,库, Lightweight in-process concurrent programming," The greenlet package is a spin-off of Stackless, a version of CPython
that supports micro-threads called ""tasklets"". Tasklets run
pseudo-concurrently (typically in a single or a few OS-level threads)
and are synchronized with data exchanges on ""channels"".

Python 3 version."
varnish,服务,库,工具, High-performance HTTP accelerator," This is Varnish Cache, a high-performance HTTP accelerator.

Varnish Cache stores web pages in memory so web servers don__ have to
create the same web page over and over again. Varnish Cache serves
pages much faster than any application server; giving the website a
significant speed up.

Documentation wiki and additional information about Varnish Cache is
available on: https://www.varnish-cache.org/"
tuned-profiles-compat,库,工具,服务,Additional tuned profiles mainly for backward compatibility with tuned 1.0 ,"Additional tuned profiles mainly for backward compatibility with tuned 1.0.
It can be also used to fine tune your system for specific scenarios. "
bsdcpio,库,工具,库, Copy files to and from archives," The bsdcpio package contains standalone bsdcpio utility split off regular
libarchive packages."
sblim-gather-provider,库,工具,服务, SBLIM Gatherer Provider," The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer."
overpass-fonts,其它,库,其它, Typeface based on the U.S. interstate highway road signage type system," Free and open source typeface based on the U.S. interstate highway road signage
type system; it is sans-serif and suitable for both body and titling text."
openjade,库,工具,工具, A DSSSL implementation," OpenJade is an implementation of the ISO/IEC 10179:1996 standard DSSSL
(Document Style Semantics and Specification Language). OpenJade is
based on James Clark's Jade implementation of DSSSL. OpenJade is a
command-line application and a set of components. The DSSSL engine
inputs an SGML or XML document and can output a variety of formats:
XML, RTF, TeX, MIF (FrameMaker), SGML, or XML."
maven-resolver-api,库,工具,库, Maven Artifact Resolver API, The application programming interface for the repository system.
libnetfilter_cttimeout,库,工具,工具, Timeout policy tuning for Netfilter/conntrack," This infrastructure allows you to define fine-grain timeout
policies per flow. Basically, from user-space, you can create
timeout policy objects via nfct_timeout_alloc(), set the
policy attributes, via nfct_timeout_*_attr_set(), and then
build the ctnetlink message to communicate this new timeout
policy to the kernel."
hunspell,工具,库,工具, A spell checker and morphological analyzer library," Hunspell is a spell checker and morphological analyzer library and program
designed for languages with rich morphology and complex word compounding or
character encoding. Hunspell interfaces: Ispell-like terminal interface using
Curses library, Ispell pipe interface, LibreOffice UNO module."
pcp-testsuite,库,服务,服务, Performance Co-Pilot (PCP) test suite, Quality assurance test suite for Performance Co-Pilot (PCP).
bind-sdb,服务,工具,服务, BIND server with database backends and DLZ support," BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named-sdb)
which has compiled-in SDB (Simplified Database Backend) which includes
support for using alternative Zone Databases stored in an LDAP server
(ldapdb), a postgreSQL database (pgsqldb), an sqlite database (sqlitedb),
or in the filesystem (dirdb), in addition to the standard in-memory RBT
(Red Black Tree) zone database. It also includes support for DLZ
(Dynamic Loadable Zones)"
gnome-shell-extension-common,服务,工具,服务, Files common to GNOME Shell Extensions," GNOME Shell Extensions is a collection of extensions providing additional and
optional functionality to GNOME Shell.

This package provides common data files shared by various extensions."
perl-I18N-Langinfo,库,工具,库, Query locale information," The langinfo() function queries various locale information that can be used to
localize output and user interfaces. It uses the current underlying locale,
regardless of whether or not it was called from within the scope of ""use
locale""."
glusterfs,服务,工具,库, Distributed File System," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package includes the glusterfs binary, the glusterfsd daemon and the
libglusterfs and glusterfs translator modules common to both GlusterFS server
and client framework."
wqy-unibit-fonts,其它,工具,其它, WenQuanYi Unibit Bitmap Font," The Wen Quan Yi Unibit is designed as a dual-width (16x16,16x8)
bitmap font to provide the most complete international symbol
coverage, serving as the system-wide fall-back font. This font
has covered over 46000 Unicode code points in BMP.
It is intended to supersede the outdated GNU Unifont.
This font was created by merging the latest update of GNU
Unifont [GPL] (by Roman Czyborra and David Starner et al., the
font was last updated in 2004), WenQuanYi Bitmap Song [GPL]
0.8.1 (by Qianqian Fang and WenQuanYi contributors) and
Fixed-16x8 [public domain] bitmap fonts from X11 core fonts.
The entire CJK Unified Ideographics (U4E00-U9FA5) and CJK Unified
Ideographics Extension A(U3400-U4DB5) blocks were replaced by
high-quality glyphs from China National Standard GB19966-2005
(public domain). Near a thousand of non-CJK characters were improved by
WenQuanYi contributors via their collaborative font editing website at
http://wenq.org/eindex.cgi?Unicode_Chart_EN"
javacc,工具,库,工具, A parser/scanner generator for java," Java Compiler Compiler (JavaCC) is the most popular parser generator for use
with Java applications. A parser generator is a tool that reads a grammar
specification and converts it to a Java program that can recognize matches to
the grammar. In addition to the parser generator itself, JavaCC provides other
standard capabilities related to parser generation such as tree building (via
a tool called JJTree included with JavaCC), actions, debugging, etc."
