name,label,pred,summary,description
openchange,库,库, Provides access to Microsoft Exchange servers using native protocols," OpenChange provides libraries to access Microsoft Exchange servers
using native protocols."
autocorr-sl,库,库, Slovenian auto-correction rules, Rules for auto-correcting common Slovenian typing errors.
gnutls-c++,库,库, The C++ interface to GnuTLS," GnuTLS is a secure communications library implementing the SSL, TLS and DTLS
protocols and technologies around them. It provides a simple C language
application programming interface (API) to access the secure communications
protocols as well as APIs to parse and write X.509, PKCS #12, OpenPGP and
other required structures."
liboauth,库,库, OAuth library functions," liboauth is a collection of POSIX-c functions implementing the OAuth
Core RFC 5849 standard. liboauth provides functions to escape and
encode parameters according to OAuth specification and offers
high-level functionality to sign requests or verify OAuth signatures
as well as perform HTTP requests."
tuned-profiles-compat,库,库,Additional tuned profiles mainly for backward compatibility with tuned 1.0 ,"Additional tuned profiles mainly for backward compatibility with tuned 1.0.
It can be also used to fine tune your system for specific scenarios. "
sisu,库,库, Eclipse dependency injection framework," Java dependency injection framework with backward support for plexus and bean
style dependency injection."
mingw64-freetype,库,库, Free and portable font rendering engine, MinGW Windows Freetype library.
setools-gui,工具,工具, Policy analysis graphical tools for SELinux," SETools is a collection of graphical tools, command-line tools, and
Python modules designed to facilitate SELinux policy analysis."
libknet1-compress-plugins-all,库,库, Libknet1 compress plugins meta package, meta package to install all of libknet1 compress plugins
doxygen,工具,工具, A documentation system for C/C++," Doxygen can generate an online class browser (in HTML) and/or a
reference manual (in LaTeX) from a set of documented source files. The
documentation is extracted directly from the sources. Doxygen can
also be configured to extract the code structure from undocumented
source files."
python3-botocore,库,库," Low-level, data-driven core of boto 3"," A low-level interface to a growing number of Amazon Web Services. The
botocore package is the foundation for the AWS CLI as well as boto3."
keentune-bench,服务,服务, Benchmark script running models for KeenTune, Benchmark script running models for KeenTune
glx-utils,工具,工具, GLX utilities, The glx-utils package provides the glxinfo and glxgears utilities.
boost-log,库,库, Run-time component of boost logging library," 
Boost.Log library aims to make logging significantly easier for the
application developer.  It provides a wide range of out-of-the-box
tools along with public interfaces for extending the library."
perl-Sys-Virt,库,库, Represent and manage a libvirt hypervisor connection," The Sys::Virt module provides a Perl XS binding to the libvirt virtual
machine management APIs. This allows machines running within arbitrary
virtualization containers to be managed with a consistent API."
gdbm,库,库,A GNU set of database routines which use extensible hashing ,"Gdbm is a GNU database indexing library, including routines which use
extensible hashing.  Gdbm works in a similar way to standard UNIX dbm
routines.  Gdbm is useful for developers who write C applications and
need access to a simple and efficient database or who are building C
applications which will use such a database.

If you're a C developer and your programs need access to simple
database routines, you should install gdbm.  You'll also need to
install gdbm-devel. "
maven-common-artifact-filters,工具,工具, Maven Common Artifact Filters," A collection of ready-made filters to control inclusion/exclusion of artifacts
during dependency resolution."
libgusb,库,库, GLib wrapper around libusb1," GUsb is a GObject wrapper for libusb1 that makes it easy to do
asynchronous control, bulk and interrupt transfers with proper
cancellation and integration into a mainloop."
cockpit-storaged,服务,服务," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
glassfish-jaxb-txw2,库,库, TXW2 Runtime, TXW is a library that allows you to write XML documents.
oddjob-mkhomedir,工具,库, An oddjob helper which creates and populates home directories," This package contains the oddjob helper which can be used by the
pam_oddjob_mkhomedir module to create a home directory for a user
at login-time."
colord-devel-docs,库,库, Developer documentation package for colord, Documentation for development with colord.
icu4j,库,库, International Components for Unicode for Java," The International Components for Unicode (ICU) library provides robust and
full-featured Unicode services on a wide variety of platforms. ICU supports
the most current version of the Unicode standard, and provides support for
supplementary characters (needed for GB 18030 repertoire support).

Java provides a very strong foundation for global programs, and IBM and the
ICU team played a key role in providing globalization technology into Sun's
Java. But because of its long release schedule, Java cannot always keep
up-to-date with evolving standards. The ICU team continues to extend Java's
Unicode and internationalization support, focusing on improving
performance, keeping current with the Unicode standard, and providing
richer APIs, while remaining as compatible as possible with the original
Java text and internationalization API design."
autocorr-nl,库,库, Dutch auto-correction rules, Rules for auto-correcting common Dutch typing errors.
tesseract-langpack-ind,工具,工具, Indonesian language data for tesseract-tessdata," This package contains the fast integer version of the Indonesian language
trained models for the Tesseract Open Source OCR Engine."
texlive-tex-gyre,工具,工具, TeX Fonts extending freely available URW fonts," The TeX-GYRE bundle consists of six font families: TeX Gyre
Adventor is based on the URW Gothic L family of fonts (which is
derived from ITC Avant Garde Gothic, designed by Herb Lubalin
and Tom Carnase). TeX Gyre Bonum is based on the URW Bookman L
family (from Bookman Old Style, designed by Alexander
Phemister). TeX Gyre Chorus is based on URW Chancery L Medium
Italic (from ITC Zapf Chancery, designed by Hermann Zapf in
1979). TeX-Gyre Cursor is based on URW Nimbus Mono L (based on
Courier, designed by Howard G. Kettler in 1955, for IBM). TeX
Gyre Heros is based on URW Nimbus Sans L (from Helvetica,
prepared by Max Miedinger, with Eduard Hoffmann in 1957). TeX
Gyre Pagella is based on URW Palladio L (from Palation,
designed by Hermann Zapf in the 1940s). TeX Gyre Schola is
based on the URW Century Schoolbook L family (which was
designed by Morris Fuller Benton for the American Type
Founders). TeX Gyre Termes is based on the URW Nimbus Roman No9
L family of fonts (whose original, Times, was designed by
Stanley Morison together with Starling Burgess and Victor
Lardent and first offered by Monotype). The constituent
standard faces of each family have been greatly extended, and
contain nearly 1200 glyphs each (though Chorus omits Greek
support, has no small-caps family and has approximately 900
glyphs). Each family is available in Adobe Type 1 and Open Type
formats, and LaTeX support (for use with a variety of
encodings) is provided. Vietnamese and Cyrillic characters were
added by Han The Thanh and Valek Filippov, respectively."
weld-parent,库,库, Parent POM for Weld, Parent POM for Weld
setools-console-analyses,工具,工具, Policy analysis command-line tools for SELinux," SETools is a collection of graphical tools, command-line tools, and
libraries designed to facilitate SELinux policy analysis.

This package includes the following console tools:

  sedta        Perform domain transition analyses.
  seinfoflow   Perform information flow analyses."
plexus-sec-dispatcher,库,库, Plexus Security Dispatcher Component, Plexus Security Dispatcher Component
java-11-alibaba-dragonwell-static-libs-slowdebug,库,库, Alibaba Dragonwell11 Runtime Environment static libs slowdebug, Alibaba Dragonwell11 Runtime Environment static libs slowdebug
plasma-breeze-common,工具,工具, Common files shared between KDE 4 and Plasma 5 versions of the Breeze style, Common files shared between KDE 4 and Plasma 5 versions of the Breeze style.
python3-netaddr,库,库, A pure Python network address representation and manipulation library," A network address manipulation library for Python

Provides support for:

Layer 3 addresses

 * IPv4 and IPv6 addresses, subnets, masks, prefixes
 * iterating, slicing, sorting, summarizing and classifying IP networks
 * dealing with various ranges formats (CIDR, arbitrary ranges and globs, nmap)
 * set based operations (unions, intersections etc) over IP addresses and subnets
 * parsing a large variety of different formats and notations
 * looking up IANA IP block information
 * generating DNS reverse lookups
 * supernetting and subnetting

Layer 2 addresses

 * representation and manipulation MAC addresses and EUI-64 identifiers
 * looking up IEEE organisational information (OUI, IAB)
 * generating derived IPv6 addresses"
dotnet-sdk-3.0,库,库, .NET Core 3.0 Software Development Kit," The .NET Core SDK is a collection of command line applications to
create, build, publish and run .NET Core applications.

.NET Core is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
ibus-sayura,库,工具, The Sinhala engine for IBus input platform, The Sayura engine for IBus platform. It provides Sinhala input method.
autocorr-cs,库,库, Czech auto-correction rules, Rules for auto-correcting common Czech typing errors.
krb5-server,服务,工具, The KDC and related programs for Kerberos 5," Kerberos is a network authentication system. The krb5-server package
contains the programs that must be installed on a Kerberos 5 key
distribution center (KDC).  If you are installing a Kerberos 5 KDC,
you need to install this package (in other words, most people should
NOT install this package)."
felix-osgi-compendium,库,库, Felix OSGi R4 Compendium Bundle, OSGi Service Platform Release 4 Compendium Interfaces and Classes.
pcre-cpp,库,库,C++ bindings for PCRE ,"This is C++ bindings for the Perl-compatible regular expression library.
Detailed change log is provided by pcre-doc package. "
qt5-qtscript,库,库, Qt5 - QtScript component, Qt5 - QtScript component.
perl-File-Slurp,库,库, Efficient Reading/Writing of Complete Files," This module provides subs that allow you to read or write entire files with
one simple call. They are designed to be simple to use, have flexible ways
to pass in or get the file contents and to be very efficient. There is also
a sub to read in all the files in a directory other than . and ..

These slurp/spew subs work for files, pipes and sockets, and stdio,
pseudo-files, and DATA."
gcc-toolset-9-systemtap,工具,工具, Programmable system-wide instrumentation system," SystemTap is an instrumentation system for systems running Linux.
Developers can write instrumentation scripts to collect data on
the operation of the system.  The base systemtap package contains/requires
the components needed to locally develop and execute systemtap scripts."
google-noto-sans-inscriptional-parthian-fonts,其它,其它, Sans Inscriptional Parthian font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Inscriptional Parthian."
pcp-pmda-gluster,服务,服务, Performance Co-Pilot (PCP) metrics for the Gluster filesystem," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the gluster filesystem."
peripety,服务,服务, Storage event notification daemon," Peripety is designed to parse system storage logging into structured storage
event helping user investigate storage issues."
openal-soft,库,库, Open Audio Library," OpenAL Soft is a cross-platform software implementation of the OpenAL 3D
audio API. It's built off of the open-sourced Windows version available
originally from the SVN repository at openal.org. OpenAL provides
capabilities for playing audio in a virtual 3d environment. Distance
attenuation, doppler shift, and directional sound emitters are among
the features handled by the API. More advanced effects, including air
absorption, low-pass filters, and reverb, are available through the
EFX extension. It also facilitates streaming audio, multi-channel buffers,
and audio capture."
libgcab1,库,库, Library to create Cabinet archives, libgcab is a library to manipulate Cabinet archive using GIO/GObject.
libEMF,库,库, A library for generating Enhanced Metafiles," libEMF is a library for generating Enhanced Metafiles on systems which
don't natively support the ECMA-234 Graphics Device Interface
(GDI). The library is intended to be used as a driver for other
graphics programs such as Grace or gnuplot. Therefore, it implements a
very limited subset of the GDI."
google-noto-sans-kannada-fonts,其它,其它, Sans Kannada font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Kannada."
rootfiles,库,工具,The basic required files for the root user's directory ,"The rootfiles package contains basic required files that are placed
in the root user's account.  These files are basically the same
as those in /etc/skel, which are placed in regular
users' home directories. "
kde-settings-pulseaudio,工具,工具, Enable pulseaudio support in KDE, Enable pulseaudio support in KDE.
javassist,库,库, The Java Programming Assistant provides simple Java bytecode manipulation," Javassist enables Java programs to define a new class at runtime and to
modify a class file when the JVM loads it. Unlike other similar
bytecode editors, Javassist provides two levels of API: source level
and bytecode level. If the users use the source-level API, they can
edit a class file without knowledge of the specifications of the Java
bytecode. The whole API is designed with only the vocabulary of the
Java language. You can even specify inserted bytecode in the form of
source text; Javassist compiles it on the fly. On the other hand, the
bytecode-level API allows the users to directly edit a class file as
other editors."
