idx,name,y_true,y_predict,feature
0,GConf2,库,服务,configuration database feature process store support user
1,GeoIP,库,库,address base database enable file instal library package update user
2,GeoIP-GeoLite-data,库,服务,address available com contain create data database free http include number package www
3,HdrHistogram_c,工具,服务,dynamic high port range
4,Judy,其它,库,array available core design dynamic dynamically extensible general high implement large library machine memory number performance provide purpose simply size state technology
5,LibRaw,库,库,base code digital file library read source utility
6,ModemManager,工具,服务,application client contain device easy functionality glib interact libraries library make management package provide service support
7,NetworkManager,服务,服务,address advanced allow alternative application automatic automatically base based compatibility configuration connection contain default device different easy editor environment file functionality graphical instal instead intend interface legacy libraries library like make manage manager network non open operation package particular perform plugin policy replace rule script server service static support text user variety
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate package plug plugin server software
9,OpenEXR,库,库,library runtime
10,OpenIPMI,库,服务,access allow application base binary binding code contain develop information interface language library libs management network open package perl platform project python runtime share tool
11,PackageKit,库,服务,abstraction access allow application architecture automatically bus command cross font glib helper install layer library line manage management module offer package plugin program related repository secure service session simple user utility
12,PyYAML,库,工具,allow arbitrary capable complete complex configuration data design error extension feature file format language message object parser provide python range represent script specific standard support task unicode
13,SDL,库,库,access audio buffer cross design device fast graphic layer library platform provide simple
14,WALinuxAgent,服务,服务,agent build disk environment image instal linux microsoft package rule specific support virtual
15,Xaw3d,工具,工具,application change code install like look minimal source version widget window
16,aajohan-comfortaa-fonts,其它,其它,font good language modern regular serif style type variant
17,abattis-cantarell-fonts,其它,其它,design family font serif
18,abrt,工具,工具,access addon application automatic base build client collect command configuration console contain container convenient create data dbus default desktop detect easy enable environment event exception extend file functionality generate generation graphical gtk handle help helper high information install installation interface kernel level libraries line make manipulate necessary need non org package plugin print problem process program provide python query report script service shell simple small storage tool usage user virtual
19,abrt-java-connector,库,库,agent capable convert exception java library problem process provide
20,accel-config,工具,服务,configuration configure device libraries library utility
21,accountsservice,库,服务,application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query user want
22,acl,工具,服务,access contain control dynamic function library list manipulate need package posix standard support utility
23,acpica-tools,工具,服务,advanced architecture basic binary code command complete component configuration contain contains content current data debug definition develop development directly display environment execution extract file following format help host implementation independent input instal integrate interface kernel language license machine manipulate message method need operation order output package power project provide purpose reference release small source space specific specification suitable table tool tree user version write
24,acpid,服务,服务,daemon event program space user
25,adcli,工具,工具,directory domain standard tool
26,adobe-mappings-cmap,工具,工具,application character code collection contain contains currently display encode form function mean package require resource sub text traditional unicode useful
27,adobe-mappings-pdf,工具,其它,application character code different file function resource share structure syntax type useful variety
28,adwaita-icon-theme,服务,其它,contain design desktop gnome modern originally package theme
29,adwaita-qt,库,其它,application library theme variant
30,alsa-firmware,服务,服务,binary card contain include number package require sound tools
31,alsa-lib,库,工具,advanced allow application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support
32,alsa-plugins,工具,工具,access allow application backend control convert daemon determine device driver easy expose http input kind like native network node number option output play plugin plugins process processing program protocol provide public record simple sound specific stream suite task type virtual word www
33,alsa-sof-firmware,服务,服务,binary contain debug file open package project sound
34,alsa-tools,工具,工具,available card certain contain following package sound tool
35,alsa-utils,工具,服务,advanced architecture audio basic command contain fast framework library line linux package sound test tool utility
36,amanda,工具,工具,advanced allow automatic basic capable client component contain core device disk drive dump facility file host include instal install large library machine microsoft multiple native need network note number package program server single solution unix version write
37,anaconda,工具,服务,boot contain core custom depend dependency disk driver environment graphical gtk handle http include install installation interface list local main make module option package possible program runtime server setup specific task time user widget
38,anaconda-user-help,工具,工具,built content help package provide
39,anolis-logos,服务,其它,related usage
40,anolis-release,服务,其它,file package release repository
41,ansible-core,工具,服务,automatically based configuration daemon execution extension instal language machine manage management model module multi node remote require simple software task transfer work write
