name,label,predict,summary,description
jetty-security,库,工具, security module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains security module for Jetty."
freetype,库,其它, A free and portable font rendering engine," The FreeType engine is a free and portable font rendering
engine, developed to provide advanced font support for a variety of
platforms and environments. FreeType is a library which can open and
manages font files as well as efficiently load, hint and render
individual glyphs. FreeType is not a font server or a complete
text-rendering library."
munge-maven-plugin,库,工具, Munge Maven Plugin," Munge is a purposely-simple Java preprocessor. It only supports
conditional inclusion of source based on defined strings of the
form ""if[tag]"", ""if_not[tag]"", ""else[tag]"", and ""end[tag]"".
Unlike traditional preprocessors, comments, and formatting are all
preserved for the included lines. This is on purpose, as the output
of Munge will be distributed as human-readable source code.

To avoid creating a separate Java dialect, the conditional tags are
contained in Java comments. This allows one build to compile the
source files without pre-processing, to facilitate faster incremental
development. Other builds from the same source have their code contained
within that comment. The format of the tags is a little verbose, so
that the tags won't accidentally be used by other comment readers
such as javadoc. Munge tags must be in C-style comments;
C++-style comments may be used to comment code within a comment.

Like any preprocessor, developers must be careful not to abuse its
capabilities so that their code becomes unreadable. Please use it
as little as possible."
abrt-gui-libs,库,工具, Libraries for abrt-gui, Libraries for abrt-gui.
xml-commons-resolver,库,服务, Resolver subproject of xml-commons, Resolver subproject of xml-commons.
istack-commons-tools,库,工具, istack-commons tools, This package contains istack-commons tools.
clufter-lib-pcs,库,工具, Extra plugins for transforming/analyzing Pacemaker configuration," This package contains set of additional plugins targeting Pacemaker cluster
configuration: either experimental commands or internally unused, reusable
formats and filters."
perl-IPC-Run,库,工具, Perl module for interacting with child processes," IPC::Run allows you run and interact with child processes using files,
pipes, and pseudo-ttys. Both system()-style and scripted usages are
supported and may be mixed. Likewise, functional and OO API styles are
both supported and may be mixed.

Various redirection operators reminiscent of those seen on common Unix
and DOS command lines are provided."
perl-Package-Generator,库,工具, Generate new packages quickly and easily," This module lets you quickly and easily construct new packages. It gives
them unused names and sets up their package data, if provided."
perl-Search-Dict,库,工具, Search for a key in a dictionary file," This module sets file position in a file handle to be first line greater than
or equal (string-wise) to a key."
socket_wrapper,库,工具, A library passing all socket communications through Unix sockets," socket_wrapper aims to help client/server software development teams willing to
gain full functional test coverage. It makes it possible to run several
instances of the full software stack on the same machine and perform locally
functional testing of complex network configurations.

To use it set the following environment variables:

LD_PRELOAD=libsocket_wrapper.so
SOCKET_WRAPPER_DIR=/path/to/swrap_dir

This package doesn't have a devel package because this project is for
development/testing."
java-11-openjdk-demo-slowdebug,库,工具, OpenJDK 11 Demos unoptimised with full debugging on," The OpenJDK 11 demos.
This package is unoptimised with full debugging. Install only as needed and remove ASAP."
libsrtp,库,服务, An implementation of the Secure Real-time Transport Protocol (SRTP)," This package provides an implementation of the Secure Real-time
Transport Protocol (SRTP), the Universal Security Transform (UST), and
a supporting cryptographic kernel."
php-opcache,库,工具, The Zend OPcache," The Zend OPcache provides faster PHP execution through opcode caching and
optimization. It improves PHP performance by storing precompiled script
bytecode in the shared memory. This eliminates the stages of reading code from
the disk and compiling it on future access. In addition, it applies a few
bytecode optimization patterns that make code execution faster."
python2-dns,库,工具, DNS toolkit for Python 2," dnspython is a DNS toolkit for Python. It supports almost all record
types. It can be used for queries, zone transfers, and dynamic
updates. It supports TSIG authenticated messages and EDNS0.

dnspython provides both high and low level access to DNS. The high
level classes perform queries for data of a given name, type, and
class, and return an answer set. The low level classes allow direct
manipulation of DNS zones, messages, names, and records."
ocaml-ocamlbuild,库,工具, Build tool for OCaml libraries and programs, OCamlbuild is a build tool for building OCaml libraries and programs.
python3-argh,库,服务, Unobtrusive argparse wrapper with natural syntax," 
Building a command-line interface?  Found yourself uttering __rgh!_
while struggling with the API of argparse?  Don__ want to lose its
power but don__ need the complexity?

python-argh provides a wrapper for argparse.  Argparse is a very powerful
tool;  python-argh just makes it easy to use."
python3-vapoursynth,库,服务, Python interface for VapourSynth, Python interface for VapourSynth/VSSCript.
java-17-openjdk-demo-fastdebug,库,工具, OpenJDK 17 Demos optimised with full debugging on," The OpenJDK 17 demos.
This package is optimised with full debugging. Install only as needed and remove ASAP."
perl-Readonly,库,工具," Facility for creating read-only scalars, arrays, hashes"," Readonly provides a facility for creating non-modifiable scalars,
arrays, and hashes. Any attempt to modify a Readonly variable throws
an exception.

Readonly:
* Creates scalars, arrays (not lists), and hashes
* Creates variables that look and work like native perl variables
* Creates global or lexical variables
* Works at run-time or compile-time
* Works with deep or shallow data structures
* Prevents reassignment of Readonly variables"
libtasn1-tools,库,工具, Some ASN.1 tools," This package contains simple tools that can decode and encode ASN.1
data."
cyrus-sasl-ntlm,库,服务,NTLM authentication support for Cyrus SASL ,"The cyrus-sasl-ntlm package contains the Cyrus SASL plugin which supports
the NTLM authentication scheme. "
hyphen-gl,库,工具, Galician hyphenation rules, Galician hyphenation rules.
perl-utils,库,工具, Utilities packaged with the Perl distribution," Several utilities which come with Perl distribution like h2ph, perlbug,
perlthanks, and pl2pm. Some utilities are provided by more specific
packages like perldoc by perl-Pod-Perldoc and splain by perl-diagnostics."
libproxy,库,服务, A library handling all the details of proxy configuration," libproxy offers the following features:

    * extremely small core footprint (< 35K)
    * no external dependencies within libproxy core
      (libproxy plugins may have dependencies)
    * only 3 functions in the stable external API
    * dynamic adjustment to changing network topology
    * a standard way of dealing with proxy settings across all scenarios
    * a sublime sense of joy and accomplishment"
perl-Sys-Virt,库,服务, Represent and manage a libvirt hypervisor connection," The Sys::Virt module provides a Perl XS binding to the libvirt virtual
machine management APIs. This allows machines running within arbitrary
virtualization containers to be managed with a consistent API."
cracklib-dicts,库,工具,The standard CrackLib dictionaries ,"The cracklib-dicts package includes the CrackLib dictionaries.
CrackLib will need to use the dictionary appropriate to your system,
which is normally put in /usr/share/dict/words. Cracklib-dicts also
contains the utilities necessary for the creation of new dictionaries.

If you are installing CrackLib, you should also install cracklib-dicts. "
perl-XML-SAX,库,工具, SAX parser access API for Perl," XML::SAX consists of several framework classes for using and building
Perl SAX2 XML parsers, filters, and drivers. It is designed around the
need to be able to ""plug in"" different SAX parsers to an application
without requiring programmer intervention. Those of you familiar with
the DBI will be right at home. Some of the designs come from the Java
JAXP specification (SAX part), only without the javaness."
rarian-compat,库,工具, Extra files for compatibility with scrollkeeper," This package contains files needed to maintain backward-compatibility with
scrollkeeper."
atinject,库,工具, Dependency injection specification for Java (JSR-330)," This package specifies a means for obtaining objects in such a way as
to maximize reusability, testability and maintainability compared to
traditional approaches such as constructors, factories, and service
locators (e.g., JNDI). This process, known as dependency injection, is
beneficial to most nontrivial applications."
qt5-qtmultimedia,库,服务, Qt5 - Multimedia support," The Qt Multimedia module provides a rich feature set that enables you to
easily take advantage of a platforms multimedia capabilites and hardware.
This ranges from the playback and recording of audio and video content to
the use of available devices like cameras and radios."
libnetfilter_cttimeout,库,服务, Timeout policy tuning for Netfilter/conntrack," This infrastructure allows you to define fine-grain timeout
policies per flow. Basically, from user-space, you can create
timeout policy objects via nfct_timeout_alloc(), set the
policy attributes, via nfct_timeout_*_attr_set(), and then
build the ctnetlink message to communicate this new timeout
policy to the kernel."
xmvn-connector-aether,库,工具, XMvn Connector for Maven Resolver," This package provides XMvn Connector for Maven Resolver, which
provides integration of Maven Resolver with XMvn.  It provides an
adapter which allows XMvn resolver to be used as Maven workspace
reader."
krb5-pkinit,库,服务,The PKINIT module for Kerberos 5 ,"Kerberos is a network authentication system. The krb5-pkinit
package contains the PKINIT plugin, which allows clients
to obtain initial credentials from a KDC using a private key and a
certificate. "
perl-Storable,库,工具, Persistence for Perl data structures," The Storable package brings persistence to your Perl data structures
containing scalar, array, hash or reference objects, i.e. anything that
can be conveniently stored to disk and retrieved at a later time."
xsane-gimp,库,服务, GIMP plug-in providing the SANE scanner interface," This package provides the regular XSane frontend for the SANE scanner
interface, but it works as a GIMP plug-in. You must have GIMP
installed to use this package."
fence-virtd-cpg,库,服务, CPG/libvirt backend for fence-virtd," Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes."
fltk,库,服务, C++ user interface toolkit," FLTK (pronounced ""fulltick"") is a cross-platform C++ GUI toolkit.
It provides modern GUI functionality without the bloat, and supports
3D graphics via OpenGL and its built-in GLUT emulation."
perl-Variable-Magic,库,服务, Associate user-defined magic to variables from Perl," Magic is Perl way of enhancing objects. This mechanism let the user add
extra data to any variable and hook syntactical operations (such as access,
assignation or destruction) that can be applied to it. With this module,
you can add your own magic to any variable without the pain of the C API."
ldapjdk,库,服务, LDAP SDK," The Mozilla LDAP SDKs enable you to write applications which access,
manage, and update the information stored in an LDAP directory.

MPLv1.1 or GPLv2+ or LGPLv2+ docs/ldapjdk/license.txt"
aspnetcore-targeting-pack-6.0,库,服务, Targeting Pack for Microsoft.AspNetCore.App 6.0," This package provides a targeting pack for Microsoft.AspNetCore.App 6.0
that allows developers to compile against and target Microsoft.AspNetCore.App 6.0
applications using the .NET SDK."
gupnp,库,服务, A framework for creating UPnP devices & control points," GUPnP is an object-oriented open source framework for creating UPnP
devices and control points, written in C using GObject and libsoup.
The GUPnP API is intended to be easy to use, efficient and flexible."
perl-locale,库,服务, Pragma to use or avoid POSIX locales for built-in operations," This pragma tells the compiler to enable (or disable) the use of POSIX locales
for built-in operations (for example, LC_CTYPE for regular expressions,
LC_COLLATE for string comparison, and LC_NUMERIC for number formatting). Each
""use locale"" or ""no locale"" affects statements to the end of the enclosing
block."
plexus-containers-component-annotations,库,工具, Component API from plexus-containers, Component API from plexus-containers.
qt5-qtwebsockets,库,服务, Qt5 - WebSockets component," The QtWebSockets module implements the WebSocket protocol as specified in RFC
6455. It solely depends on Qt (no external dependencies)."
hyphen-ia,库,工具, Interlingua hyphenation rules, Interlingua hyphenation rules.
cyrus-sasl-ldap,库,服务,LDAP auxprop support for Cyrus SASL ,"The cyrus-sasl-ldap package contains the Cyrus SASL plugin which supports using
a directory server, accessed using LDAP, for storing shared secrets. "
perl-IPC-SysV,库,服务, Object interface to System V IPC," This is an object interface for System V messages, semaphores, and
inter-process calls."
dotnet-templates-5.0,库,服务, .NET 5.0 templates," This package contains templates used by the .NET SDK.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
hyphen-sl,库,工具, Slovenian hyphenation rules, Slovenian hyphenation rules.
qt5-qtbase-mysql,库,服务, MySQL driver for Qt5's SQL classes, MySQL driver for Qt5's SQL classes.
fence-virtd-multicast,库,服务, Multicast listener for fence-virtd, Provides multicast listener capability for fence-virtd.
ncurses-base,库,其它, Descriptions of common terminals," This package contains descriptions of common terminals. Other terminal
descriptions are included in the ncurses-term package."
