name,label,pred,summary,description
libpmem,库,库, Low-level persistent memory support library," The libpmem provides low level persistent memory support. In particular,
support for the persistent memory instructions for flushing changes
to pmem is provided."
kernel-debug-modules,其它,库, kernel modules to match the debug-core kernel, This package provides commonly used kernel modules for the debug-core kernel package.
tesseract,工具,工具, Raw OCR Engine," A commercial quality OCR engine originally developed at HP between 1985 and
1995. In 1995, this engine was among the top 3 evaluated by UNLV. It was
open-sourced by HP and UNLV in 2005."
hyphen-is,库,库, Icelandic hyphenation rules, Icelandic hyphenation rules.
device-mapper-event-libs,库,工具, Device-mapper event daemon shared library," This package contains the device-mapper event daemon shared library,
libdevmapper-event."
thai-scalable-laksaman-fonts,其它,库, Thai Laksaman fonts," 
fonts-tlwg provides a collection of free scalable Thai fonts.

This package provides the Laksaman family of Thai fonts."
kwin-wayland,服务,库, KDE Window Manager with experimental Wayland support, KDE Window Manager with experimental Wayland support.
perl-Algorithm-Diff,库,库,Compute `intelligent' differences between two files/lists ,"This is a module for computing the difference between two files, two strings,
or any other two lists of things. It uses an intelligent algorithm similar to
(or identical to) the one used by the Unix ""diff"" program. It is guaranteed to
find the *smallest possible* set of differences. "
tpm-quote-tools,工具,库,TPM-based attestation using the TPM quote operation (tools) ,"TPM Quote Tools is a collection of programs that provide support
for TPM based attestation using the TPM quote operation. "
maven-resolver-transport-classpath,库,库, Maven Artifact Resolver Transport Classpath, A transport implementation for repositories using classpath:// URLs.
libreoffice-help-ja,库,其它, Japanese help for LibreOffice, Provides Japanese help for LibreOffice.
brltty-dracut,服务,服务, brltty module for Dracut, This package provides brltty module for Dracut.
fence-virt,服务,库, A pluggable fencing framework for virtual machines, Fencing agent for virtual machines.
texlive-ptext,工具,服务, A 'lipsum' for Persian," The package provides lipsum-like facilities for the Persian
language. The source of the filling text is the Persian epic
""the Shanameh"" (100 paragraphs are used.)"
perl-ExtUtils-Miniperl,库,工具, Write the C code for perlmain.c," writemain() takes an argument list of directories containing archive libraries
that relate to perl modules and should be linked into a new perl binary. It
writes a corresponding perlmain.c file that is a plain C file containing all
the bootstrap code to make the If the first argument to writemain() is a
reference to a scalar it is used as the file name to open for output. Any other
reference is used as the file handle to write to. Otherwise output defaults to
STDOUT."
qt5-qtwebsockets,库,其它, Qt5 - WebSockets component," The QtWebSockets module implements the WebSocket protocol as specified in RFC
6455. It solely depends on Qt (no external dependencies)."
jansson,库,工具," C library for encoding, decoding and manipulating JSON data", Small library for parsing and writing JSON documents.
coreutils-single,工具,其它,coreutils multicall binary ,"These are the GNU core utilities,
packaged as a single multicall binary. "
libao,库,服务, Cross Platform Audio Output Library," Libao is a cross platform audio output library. It currently supports
ESD, OSS, Solaris, and IRIX."
hunspell-es-SV,工具,工具, Salvadoran Spanish hunspell dictionary, Salvadoran Spanish hunspell dictionary
libreoffice-langpack-ru,库,其它, Russian language pack for LibreOffice, Provides additional Russian translations and resources for LibreOffice.
alsa-lib,库,其它, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
mariadb-gssapi-server,服务,库, GSSAPI authentication plugin for server," GSSAPI authentication server-side plugin for MariaDB for passwordless login.
This plugin includes support for Kerberos on Unix."
hunspell-ku,工具,服务, Kurdish hunspell dictionaries, Kurdish hunspell dictionaries.
go-toolset,工具,工具, Package that installs go-toolset, This is the main package for go-toolset.
librbd1,库,库, RADOS block device client library," RBD is a block device striped across multiple distributed objects in
RADOS, a reliable, autonomic distributed object storage cluster
developed as part of the Ceph distributed storage system. This is a
shared library allowing applications to manage these block devices."
SDL,库,服务, A cross-platform multimedia library," Simple DirectMedia Layer (SDL) is a cross-platform multimedia library designed
to provide fast access to the graphics frame buffer and audio device."
hunspell-ca,工具,其它, Catalan hunspell dictionaries, Catalan hunspell dictionaries.
perl-HTML-Tagset,库,其它, HTML::Tagset - data tables useful in parsing HTML," This module contains several data tables useful in various kinds of
HTML parsing operations, such as tag and entity names."
libblockdev-nvdimm,库,库, The NVDIMM plugin for the libblockdev library," The libblockdev library plugin (and in the same time a standalone library)
providing the functionality related to operations with NVDIMM devices."
