idx,name,y_true,y_predict,feature
0,GConf2,系统,核心,administration backends configuration database feature nannan pluggable process store support transparent user
2,GeoIP-GeoLite-data,应用,其它,address available com contain country create data database free http include ipv4 ipv6 number package plus product www
3,HdrHistogram_c,应用,核心,dynamic high nannan port range
6,ModemManager,应用,系统,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
7,NetworkManager,系统,核心,address advanced allow alternative applet application automatic automatically backward base based behave bluetooth bridge bring broadband compatibility config configuration connection contain default deployment device dhcp different dispatcher easy editor environment ethernet file functionality graphical infiniband initscripts instal installs instead intend interface legacy libraries library like make manage manager mobile network networking networkmanager non open operation package particular perform plugin policy replace routing rule script scripts server service static stop support talk team text user variety
8,NetworkManager-libreswan,系统,其它,capability contain desktop file files gnome integrate nannan networkmanager package plug plugin server software
10,OpenIPMI,应用,核心,access allow application base binary binding bindings code contain develop information intelligent interface ipmi language library libs management nannan network open package perl platform project python runtime share tool
11,PackageKit,应用,核心,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
12,PyYAML,应用,系统,allow applicable arbitrary capable complete complex configuration data design error extension feature file format human interaction language message nannan object parser provide python range readability represent script serialization specific standard support task unicode yaml
14,WALinuxAgent,应用,系统,agent build cloud disk environment image instal linux machines microsoft package provisioning rule running specific support udev virtual
19,abrt,应用,系统,access addon analyze analyzer application automatic base build catch client collect command configuration console contain container convenient count crash create data dbus default desktop detect detection easy enable environment event exception extend file freedesktop functionality generate generation graphical gtk gui handle help helper high hook improved information install installation interface kernel level libraries line make manipulate necessary need non notification org package plugin policykit print problem process program provide python query report reporting script service shell simple small storage tool usage user virtual xorg
20,abrt-java-connector,系统,应用,agent capable convert exception java library nannan problem process provide transform
22,accountsservice,应用,核心,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
25,acpid,系统,核心,daemon event nannan program space user
26,adcli,应用,系统,active directory domain enrollment join kerberos ldap nannan standard tool
27,adobe-mappings-cmap,应用,其它,adobe application character chinese code collection contain contains correctly currently deprecate display encode form function ghostscript glyph japanese korean mean nannan package properly require resource sub text traditional unicode useful
28,adobe-mappings-pdf,应用,其它,adobe application character code different file function ghostscript mapping nannan properly resource share structure syntax type useful variety
31,alsa-firmware,系统,其它,alsa binary card contain firmware include loader nannan number package require sound supported tools
32,alsa-lib,系统,核心,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
33,alsa-plugins,系统,其它,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono nannan native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
34,alsa-sof-firmware,系统,核心,binary contain debug file firmware open package project sound topology
35,alsa-tools,系统,其它,alsa available card certain contain firmware flash following loader nannan package second sound tool upload
36,alsa-utils,系统,应用,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
37,amanda,应用,系统,administrator advanced allow archiver attach automatic backup basic capable client component contain core device disk drive dump facility file host include instal install large library machine master microsoft multiple native need network note number package program server single solution tape unix version workstation write
39,anaconda-user-help,系统,其它,anaconda built content help nannan package provide
42,ansible-core,应用,其它,automatically based configuration daemon deployment driven execution extension instal language machine manage management model module multi nannan node remote require simple software task transfer work write
43,ansible-freeipa,应用,系统,address backup bin client cluster collection config configured controller currently deploy deployment distribution environment external features fedora freeipa group handle host install installation issue location management manager method mode modules nannan need node note package password permission plan privilege process processing properly record repair require restore role rule self separate server service sign simple start step support supported time topology trust user usr version work working zone
47,apache-commons-codec,应用,其它,attempt codec common commonly commons decoder encoders examples implementation include nannan provide urls
51,apache-commons-jxpath,应用,其它,context defines expression graph include interpreter kind language nannan object servlet simple xpath
55,appstream-data,应用,其它,center distribution gnome metadata nannan package provide require software specific
56,apr,应用,核心,apache data form free include layer library mission nannan operate os portability portable possible provide routine runtime structure win32
57,apr-util,应用,系统,abstraction additional apache berkeley contain crypto data database driver free include interface ldap library mission mysql odbc openssl package parsing portable postgresql provide routine runtime sqlite structure support util utility
