idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable process store support transparent user
7,NetworkManager,服务,工具,address advanced allow alternative applet application automatic automatically backward base based behave bluetooth bridge bring broadband compatibility config configuration connection contain default deployment device dhcp different dispatcher easy editor environment ethernet file functionality graphical infiniband initscripts instal installs instead intend interface legacy libraries library like make manage manager mobile network networking networkmanager non open operation package particular perform plugin policy replace routing rule script scripts server service static stop support talk team text user variety
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate networkmanager package plug plugin server software
10,OpenIPMI,库,工具,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs management network open package perl platform project python runtime share tool
11,PackageKit,库,工具,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
12,PyYAML,库,工具,allow applicable arbitrary capable complete complex configuration data design error extension feature file format human interaction language message object parser provide python range readability represent script serialization specific standard support task unicode yaml
14,WALinuxAgent,服务,工具,agent build cloud disk environment image instal linux machines microsoft package provisioning rule running specific support udev virtual
15,Xaw3d,工具,库,application change code dimensional enhanced incorporate install like look minimal source version widget window
21,accountsservice,库,工具,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
24,acpid,服务,工具,daemon event program space user
28,adwaita-icon-theme,服务,其它,contain cursor design desktop gnome icon modern originally package theme
29,adwaita-qt,库,其它,application library theme variant
30,alsa-firmware,服务,工具,alsa binary card contain firmware include loader number package require sound supported tools
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
33,alsa-sof-firmware,服务,工具,binary contain debug file firmware open package project sound topology
39,anolis-logos,服务,工具,anolis copying httpd icon licensed picture related usage
40,anolis-release,服务,库,anolis file package release repository signature
60,aspell-en,工具,库,dictionary english following list provides word
69,augeas,服务,工具,change comment configuration control definition edit expose file format hard libraries library make parse preserve public read structure transformation tree work write
72,autoconf-archive,库,工具,archive autoconf cause collection contribute free friendly internet macro software
73,autofs,服务,工具,automatically cd daemon filesystems floppy include later mount network tool
74,autogen,工具,库,automated base command consist document eliminate library line nearly option parser parsing powerful process template time
76,autotrace,工具,库,bitmap convert format graphic include input output postscript produce program supported utility vector
77,avahi,服务,工具,able address application automatic avahi binding central computer configuration contain convenient daemon dhcp discovery dynamic easy facilitate file glib gobject ietf implement intend ipv4 kind libraries library libs link local macos mean need network package people plug primarily print printer program protocol python3 range run server service share technology time view wrapper
