name,label,summary,description,predict
abrt-addon-ccpp,应用, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.,应用
abrt-console-notification,应用, ABRT console notification script," A small script which prints a count of detected problems when someone logs in
to the shell",应用
python3-abrt,应用, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.",应用
acl,核心, Access control list utilities," This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",系统
acpid,系统, ACPI Event Daemon, acpid is a daemon that dispatches ACPI events to user-space programs.,系统
alsa-lib,系统, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.",系统
alsa-plugins-arcamav,系统, Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.",系统
alsa-plugins-maemo,系统, Maemo plugin for ALSA," This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.",系统
alsa-plugins-oss,系统, Oss PCM output plugin for ALSA," This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".",系统
alsa-plugins-upmix,系统, Upmixer channel expander plugin for ALSA," The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.",系统
alsa-plugins-vdownmix,系统, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".",系统
alsa-utils,系统, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).",系统
amanda-libs,应用, Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs.",应用
anaconda-core,系统, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system.",系统
anaconda-dracut,系统, The anaconda dracut module," The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks.",系统
anaconda-gui,系统, Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.,系统
anolis-logos,核心,Anolis OS related icons and pictures ,"Licensed only for approved usage, see COPYING for details. ",应用
