name,label,predict,marked_text
389-ds-base,工具,服务,directory server(服务) base directory server(服务) compliant server(服务) base package(工具) include(工具) ldap server(服务) command(工具) line utility(工具) server(服务) administration
389-ds-base-snmp,工具,服务,snmp agent(服务) directory server(服务) snmp agent(服务) directory server(服务) base package(工具)
python3-lib389,库,工具,library(库) access(库) test configure directory server(服务) this module(库) contain(工具) tool(工具) library(库) access(库) test configure directory server(服务)
abrt-desktop,服务,工具,virtual package(工具) make easy default installation desktop environment virtual package(工具) install necessary package(工具) usage desktop environment
python3-abrt,库,工具,abrt python(库) query create manipulate problem handle abrt python(库)
python3-abrt-addon,库,工具,abrt addon catch analyze python(库) exception this package(工具) contain(工具) python(库) hook python(库) analyzer plugin(服务) handle uncaught exception python(库) program(工具)
python3-abrt-container-addon,库,工具,abrt contain(工具)er addon catch python(库) exception this package(工具) contain(工具) python(库) hook handle uncaught exception python(库) program(工具) contain(工具)er
accel-config,工具,库,configure accelerator subsystem device(服务) utility(工具) library(库) configure accelerator subsystem
accountsservice-libs,库,服务,library(库) talk accountsservice(服务) package(工具) contain(工具) library(库) application(库) want interact accountsservice(服务) daemon(服务)
acl,工具,服务,access(库) control list utility(工具) this package(工具) contain(工具) getfacl setfacl utility(工具) need manipulate access(库) control list
adcli,工具,服务,active directory enrollment adcli tool(工具) join active directory domain(服务) standard ldap kerberos call
adobe-mappings-pdf,库,其它,resource(工具) adobe mapping resource(工具) variety function(库) mapping cids character character code(库) character code(库) character code(库) these mapping resource(工具) confuse cmap resource(工具) while type resource(工具) share file(工具) structure syntax different function(库) these mapping resource(工具) useful application(库) ghostscript(其它) function(库) properl(库)y
adwaita-cursor-theme,其它,服务,adwaita cursor theme package(工具) contain(工具) modern cursor originally design(其它) gnome(服务) desktop
adwaita-icon-theme,其它,服务,adwaita icon theme this package(工具) contain(工具) adwaita icon theme gnome(服务) desktop
adwaita-qt5,其它,库,adwaita theme adwaita theme variant application(库) utilizing
aide,工具,库,intrusion detection environment aide advanced intrusion detection environment file(工具) integrity checker intrusion detection program(工具)
