name,label,bert_pred,graph_pred,summary,description
perl-IO-Socket-IP,库,库,工具, Drop-in replacement for IO::Socket::INET supporting both IPv4 and IPv6," This module provides a protocol-independent way to use IPv4 and IPv6
sockets, intended as a replacement for IO::Socket::INET. Most constructor
arguments and methods are provided in a backward-compatible way."
opensc,库,库,服务,Smart card library and applications ,"OpenSC provides a set of libraries and utilities to work with smart cards. Its
main focus is on cards that support cryptographic operations, and facilitate
their use in security applications such as authentication, mail encryption and
digital signatures. OpenSC implements the PKCS#11 API so applications
supporting this API (such as Mozilla Firefox and Thunderbird) can use it. On
the card OpenSC implements the PKCS#15 standard and aims to be compatible with
every software/card that does so, too. "
cockpit-storaged,服务,服务,库," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
ibus-typing-booster,工具,工具,库, A completion input method," Ibus-typing-booster is a context sensitive completion
input method to speedup typing."
polardb,服务,库,库, An open-source database system based on PostgreSQL., PolarDB for PostgreSQL (PolarDB for short) is an open-source database system based on PostgreSQL.
dde-calendar,工具,库,库, Calendar is a smart daily planner to schedule all things in life, Calendar is a smart daily planner to schedule all things in life.
weld-parent,库,库,工具, Parent POM for Weld, Parent POM for Weld
mysql,工具,库,库, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
texlive-sepnum,库,库,工具," Print numbers in a ""friendly"" format"," Provides a command to print a number with (potentially
different) separators every three digits in the parts either
side of the decimal point (the point itself is also
configurable). The macro is fully expandable and not fragile
(unless one of the separators is). There is also a command
\sepnumform, that may be used when defining \the<counter>
macros."
texlive-pxfonts,工具,工具,库, Palatino-like fonts in support of mathematics," Pxfonts supplies virtual text roman fonts using Adobe Palatino
(or URWPalladioL) with some modified and additional text
symbols in the OT1, T1, and TS1 encodings; maths alphabets
using Palatino/Palladio; maths fonts providing all the symbols
of the Computer Modern and AMS fonts, including all the Greek
capital letters from CMR; and additional maths fonts of various
other symbols. The set is complemented by a sans-serif set of
text fonts, based on Helvetica/NimbusSanL, and a monospace set
derived from the parallel TX font set. All the fonts are in
Type 1 format (AFM and PFB files), and are supported by TeX
metrics (VF and TFM files) and macros for use with LaTeX."
libpath_utils,库,工具,工具, Filesystem Path Utilities, Utility functions to manipulate filesystem pathnames
ffmpegthumbnailer,工具,工具,库, Lightweight video thumbnailer that can be used by file managers, This video thumbnailer can be used to create thumbnails for your video files.
greenboot-default-health-checks,服务,库,工具, Series of optional and curated health checks, Series of optional and curated health checks.
amanda,服务,服务,工具, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
gcc-toolset-11-dyninst,工具,工具,库, An API for Run-time Code Generation," 
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching."
device-mapper-event-libs,库,库,工具, Device-mapper event daemon shared library," This package contains the device-mapper event daemon shared library,
libdevmapper-event."
freeradius-sqlite,服务,服务,库, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
orc-compiler,工具,库,库, Orc compiler," The Orc compiler, to produce optimized code."
libhugetlbfs-utils,工具,工具,库,Userspace utilities for configuring the hugepage environment ,"This packages contains a number of utilities that will help administrate the
use of huge pages on your system.  hugeedit modifies binaries to set default
segment remapping behavior. hugectl sets environment variables for using huge
pages and then execs the target program. hugeadm gives easy access to huge page
pool size control. pagesize lists page sizes available on the machine. "
vorbis-tools,工具,工具,库, The Vorbis General Audio Compression Codec tools," Ogg Vorbis is a fully open, non-proprietary, patent- and royalty-free,
general-purpose compressed audio format for audio and music at fixed
and variable bitrates from 16 to 128 kbps/channel.

The vorbis package contains an encoder, a decoder, a playback tool, and a
comment editor."
udisks2-lsm,库,库,服务, Module for LSM, This package contains module for LSM configuration.
rubygem-bson,库,工具,工具, Ruby implementation of the BSON specification, A fully featured BSON specification implementation in Ruby.
vapoursynth-tools,工具,工具,库, Extra tools for VapourSynth, This package contains the vspipe tool for interfacing with VapourSynth.
python3-sphinx-theme-alabaster,库,工具,服务, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects."
trace-cmd,工具,工具,库,A user interface to Ftrace ,"trace-cmd is a user interface to Ftrace. Instead of needing to use the
debugfs directly, trace-cmd will handle of setting of options and
tracers and will record into a data file. "
compat-openssl10,库,库,工具, Compatibility version of the OpenSSL library," The OpenSSL toolkit provides support for secure communications between
machines. This version of OpenSSL package contains only the libraries
and is provided for compatibility with previous releases and software
that does not support compilation with OpenSSL-1.1."
malaga,工具,工具,库, A programming language for automatic language analysis," A software package for the development and application of
grammars that are used for the analysis of words and sentences of natural
languages. It is a language-independent system that offers a programming
language for the modelling of the language-dependent grammatical
information. This language is also called Malaga.

Malaga is based on the grammatical theory of the ""Left Associative Grammar""
(LAG), developed by Roland Hausser, professor for Computational Linguistics at
University of Erlangen, Germany."
dyninst-testsuite,工具,工具,库, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
rhythmbox,工具,工具,库, Music Management Application," Rhythmbox is an integrated music management application based on the powerful
GStreamer media framework. It has a number of features, including an easy to
use music browser, searching and sorting, comprehensive audio format support
through GStreamer, Internet Radio support, playlists and more.

Rhythmbox is extensible through a plugin system."
perl-homedir,库,库,工具, Per-user Perl local::lib setup," perl-homedir configures the system to automatically create a ~/perl5
directory in each user's $HOME on user login.  This allows each user to
install CPAN packages via the CPAN to their $HOME, with no additional
configuration or privileges, and without installing them system-wide.

If you want your users to be able to install and use their own Perl modules,
install this package."
checkpolicy,工具,工具,库, SELinux policy compiler," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

This package contains checkpolicy, the SELinux policy compiler.
Only required for building policies."
docker-engine,服务,工具,工具, Docker daemon binary and related utilities, Docker daemon binary and related utilities
matchbox-window-manager,工具,服务,库, Window manager for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited.

This package contains the window manager from Matchbox."
fence-agents-ipmilan,服务,服务,工具, Fence agents for devices with IPMI interface, Fence agents for devices with IPMI interface.
iptables-utils,工具,库,库,iptables and ip6tables services for iptables ,"Utils for iptables.

Currently only provides nfnl_osf with the pf.os database. "
nmstate-libs,库,库,工具, C binding of nmstate, This package contains the C binding of nmstate.
python38-setuptools-wheel,库,库,工具, The setuptools wheel, A Python wheel of setuptools to use with venv.
openssh,工具,工具,服务, An open source implementation of SSH protocol version 2," SSH (Secure SHell) is a program for logging into and executing
commands on a remote machine. SSH is intended to replace rlogin and
rsh, and to provide secure encrypted communications between two
untrusted hosts over an insecure network. X11 connections and
arbitrary TCP/IP ports can also be forwarded over the secure channel.

OpenSSH is OpenBSD's version of the last free version of SSH, bringing
it up to date in terms of security and features.

This package includes the core files necessary for both the OpenSSH
client and server. To make this package useful, you should also
install openssh-clients, openssh-server, or both."
deepin-editor,服务,工具,工具, Simple editor for Linux Deepin, Simple editor for Linux Deepin.
