name,label,bert_pred,graph_pred,summary,description
anaconda-tui,工具,库,库, Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
python2-markupsafe,库,库,库, Implements a XML/HTML/XHTML Markup safe string for Python 2, A library for safe markup escaping.
clevis-udisks2,工具,库,库, UDisks2/Storaged integration for clevis," Automatically unlocks LUKS block devices in desktop environments that
use UDisks2 or storaged (like GNOME)."
uom-lib,库,库,库, Java Unit of Measurement Libraries (JSR 363), Units of Measurement Libraries - extending and complementing JSR 363.
libgomp-offload-nvptx,库,库,库,GCC OpenMP v4.5 plugin for offloading to NVPTX ,"This package contains libgomp plugin for offloading to NVidia
PTX.  The plugin needs libcuda.so.1 shared library that has to be
installed separately. "
imake,工具,库,库, imake source code configuration and build system," Imake is a deprecated source code configuration and build system which
has traditionally been supplied by and used to build the X Window System
in X11R6 and previous releases.  As of the X Window System X11R7 release,
the X Window system has switched to using GNU autotools as the primary
build system, and the Imake system is now deprecated, and should not be
used by new software projects.  Software developers are encouraged to
migrate software to the GNU autotools system."
pcp-pmda-json,服务,库,库, Performance Co-Pilot (PCP) metrics for JSON data," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics output in JSON."
qdox,库,库,库, Extract class/interface/method definitions from sources," QDox is a high speed, small footprint parser
for extracting class/interface/method definitions
from source files complete with JavaDoc @tags.
It is designed to be used by active code
generators or documentation tools."
fftw-static,库,库,库, Static versions of the FFTW libraries," The fftw-static package contains the statically linkable version of
the FFTW fast Fourier transform library."
cockpit-machines,服务,库,库, Cockpit user interface for virtual machines," The Cockpit components for managing virtual machines.

If ""virt-install"" is installed, you can also create new virtual machines."
kacst-title-fonts,其它,库,库, Fonts for arabic from arabeyes project, This package contains title type fonts for the display of Arabic
java-1.8.0-openjdk-headless,库,库,库, OpenJDK 8 Headless Runtime Environment, The OpenJDK 8 runtime environment without audio and video support.
ghostscript-tools-fonts,工具,库,库, Ghostscript's font utilities," This package provides utilities which are useful when you are working with AFM,
PFB or PFA files, mostly for conversion purposes."
python38-numpy-f2py,库,库,库, f2py for numpy, This package includes a version of f2py that works properly with NumPy.
sgml-common,工具,库,库,Common SGML catalog and DTD files ,"The sgml-common package contains a collection of entities and DTDs
that are useful for processing SGML, but that don't need to be
included in multiple packages.  Sgml-common also includes an
up-to-date Open Catalog file. "
perl-File-CheckTree,库,其它,库, Run many file-test checks on a tree," File::CheckTree::validate() routine takes a single multi-line string
consisting of directives, each containing a file name plus a file test to try
on it. (The file test may also be a ""cd"", causing subsequent relative file
names to be interpreted relative to that directory.) After the file test you
may put || die to make it a fatal error if the file test fails. The default is
|| warn.  The file test may optionally have a ""!' prepended to test for the
opposite condition. If you do a cd and then list some relative file names, you
may want to indent them slightly for readability. If you supply your own die()
or warn() message, you can use $file to interpolate the file name."
bpg-algeti-fonts,其它,库,库, Algeti Family of BPG Georgian Fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Algeti font family."
python3-itsdangerous,库,库,库, Python 3 library for passing trusted data to untrusted environments," Itsdangerous is a Python 3 library for passing data through untrusted
environments (for example, HTTP cookies) while ensuring the data is not
tampered with.

Internally itsdangerous uses HMAC and SHA1 for signing by default and bases the
implementation on the Django signing module. It also however supports JSON Web
Signatures (JWS)."
texlive-collection-latexrecommended,工具,库,库, LaTeX recommended packages," A collection of recommended add-on packages for LaTeX which
have widespread use."
colord-devel-docs,库,库,库, Developer documentation package for colord, Documentation for development with colord.
