name,label,layer_pred,class_pred,summary,description
389-ds-base-libs,系统库,系统,服务,Core libraries for 389 Directory Server,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package."
liba52,系统库,核心,库,"A free ATSC A/52 stream decoder, also known as AC-3 or AC3","liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3"
abrt,系统库,应用,工具,Automatic bug detection and reporting tool,"abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality."
abrt-addon-ccpp,应用工具,系统,工具,abrt's C/C++ addon,This package contains abrt's C/C++ analyzer plugin.
abrt-addon-coredump-helper,应用工具,核心,工具,abrt's /proc/sys/kernel/core_pattern helper,This package contains hook for C/C++ crashed programs.
abrt-addon-kerneloops,应用工具,核心,工具,abrt's kerneloops addon,"This package contains plugin for collecting kernel crash information from
system log."
abrt-addon-vmcore,应用工具,系统,工具,abrt's vmcore addon,"This package contains plugin for collecting kernel crash information from
vmcore files."
abrt-addon-xorg,应用工具,核心,服务,abrt's Xorg addon,"This package contains plugin for collecting Xorg crash information from Xorg
log."
abrt-cli,应用工具,系统,工具,Virtual package to make easy default installation on non-graphical environments,"Virtual package to install all necessary packages for usage from command line
environment."
abrt-cli-ng,应用工具,系统,工具,abrt's improved command line interface,New generation command line interface for ABRT
abrt-dbus,应用服务,应用,工具,ABRT DBus service,"ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
abrt-desktop,应用服务/桌面,核心,服务,Virtual package to make easy default installation on desktop environments,"Virtual package to install all necessary packages for usage from desktop
environment."
abrt-gui,应用工具/桌面,应用,服务,abrt's gui,GTK+ wizard for convenient bug reporting.
abrt-plugin-machine-id,应用工具,应用,服务,abrt's plugin to generate machine_id based off dmidecode,"This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events."
abrt-plugin-sosreport,应用工具,应用,服务,abrt's plugin for building automatic sosreports,"This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events."
python3-abrt,系统库,应用,工具,ABRT Python 3 API,"High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
python3-abrt-addon,系统库,系统,工具,abrt's addon for catching and analyzing Python 3 exceptions,"This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs."
python3-abrt-container-addon,系统库,应用,工具,abrt's container addon for catching Python 3 exceptions,"This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
abrt-java-connector,应用库,应用,服务,JNI Agent library converting Java exceptions to ABRT problems,"JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems"
accel-config,应用工具,应用,库,Configure accelerator subsystem devices,Utility library for configuring the accelerator subsystem.
accel-config-libs,应用库,核心,库,Configuration library for accelerator subsystem devices,Libraries for accel-config.
accountsservice-libs,应用库,系统,服务,Client-side library to talk to accountsservice,"The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
acl,核心工具,核心,库,Access control list utilities,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists."
