,name,label,text,y,y_predict
2748,libguestfs-xfs,系统,This adds XFS support to libguestfs.  Install it if you want to processdisk images containing XFS.XFS support for libguestfs,1,1
4497,perl-File-Fetch,系统,"File::Fetch allows you to fetch any file pointed to by a ""ftp"", ""http"",""file"", ""git"", or ""rsync"" URI by a number of different means.Generic file fetching mechanism",1,2
536,criu-libs,应用,This package contains the libraries for criuLibraries for criu,2,0
5387,qt5-qtwebengine-examples,应用,Example files for qt5-qtwebengine.Example files for qt5-qtwebengine,2,2
1419,gnome-shell-extension-drive-menu,应用,This GNOME Shell extension provides a panel status menu for accessing andunmounting removable devices.Drive status menu for GNOME Shell,2,2
3467,maven-plugin-descriptor,应用,Maven plugin descriptor artifactMaven Plugin Description Model,2,2
6153,texlive-gsftopk,应用,"Designed for use with xdvi and dvips this utility convertsAdobe Type 1 fonts to PK bitmap format. It should notordinarily be much used nowadays, since both its targetapplications are now capable of dealing with Type 1 fonts,direct.Convert ""ghostscript fonts"" to PK files",2,3
4722,perl-XML-SAX-Base,系统,"This module has a very simple task - to be a base class for Perl SAX driversand filters. Its default behavior is to pass the input directly to theoutput unchanged. It can be useful to use this module as a base class soyou don't have to, for example, implement the characters() callback.Base class SAX drivers and filters",1,1
558,culmus-frank-ruehl-clm-fonts,其它,The culmus-fonts package contains fonts for the display ofHebrew from the Culmus project.Fonts for Hebrew from Culmus project,3,3
3452,mariadb-connector-odbc,应用,"MariaDB Connector/ODBC is a standardized, LGPL licensed database driver usingthe industry standard Open Database Connectivity (ODBC) API. It supports ODBCStandard 3.5, can be used as a drop-in replacement for MySQL Connector/ODBC,and it supports both Unicode and ANSI modes.The MariaDB Native Client library (ODBC driver)",2,1
5727,speex,应用,"Speex is a patent-free compression format designed especially forspeech. It is specialized for voice communications at low bit-rates inthe 2-45 kbps range. Possible applications include Voice over IP(VoIP), Internet audio streaming, audio books, and archiving of speechdata (e.g. voice mail).A voice compression format (codec)",2,2
5084,python3-ethtool,系统,"Python 3 bindings for the ethtool kernel interface, that allows querying andchanging of Ethernet card settings, such as speed, port, auto-negotiation, andPCI locations.Python module to interface with ethtool",1,1
2151,java-1.8.0-alibaba-dragonwell-javadoc,应用,Alibaba Dragonwell 1.8.0 javadocAlibaba Dragonwell 1.8.0 javadoc,2,2
4020,opencl-headers,应用,OpenCL (Open Computing Language) header files.OpenCL (Open Computing Language) header files,2,2
4988,python3-pyparted,系统,Python module for the parted library.  It is used for manipulatingpartition tables. This package provides Python 3 bindings for parted.Python 3 module for GNU parted,1,1
2735,libguestfs-appliance,系统,libguestfs-appliance provides the appliance used by libguestfs.Appliance for libguestfs,1,1
3998,opa-basic-tools,应用,Contains basic tools for fabric management necessary on all compute nodes.OPA management level tools and scripts,2,1
3654,mingw64-cairo,应用,MinGW Windows Cairo library.MinGW Windows Cairo library,2,2
2390,kf5-kcompletion,应用,KCompletion provides widgets with advanced completion support as well as alower-level completion class which can be used with your own widgets.KDE Frameworks 5 Tier 2 addon with auto completion widgets and classes,2,2
3062,libreoffice-langpack-tr,应用,Provides additional Turkish translations and resources for LibreOffice.Turkish language pack for LibreOffice,2,2
5864,tboot,系统,"Performs a verified launch using Intel TXTTrusted Boot (tboot) is an open source, pre-kernel/VMM module that usesIntel Trusted Execution Technology (Intel TXT) to perform a measuredand verified launch of an OS kernel/VMM.",1,1
4972,pulseaudio-module-x11,系统,X11 bell and security modules for the PulseAudio sound server.X11 support for the PulseAudio sound server,1,2
5505,rubygem-did_you_mean,应用,"""did you mean?"" experience in Ruby: the error message will tell you the rightone when you misspelled something.""Did you mean?"" experience in Ruby",2,2
1644,groff-base,核心,"The groff-base package contains only necessary parts of groff formattingsystem which are required to display manual pages, and the groff's defaultdisplay device (PostScript).Parts of the groff formatting system required to display manual pages",0,2
1069,forge-parent,系统,Sonatype Forge is an open-source community dedicated to the creation of thenext-generation of development tools and technologies.Sonatype Forge Parent Pom,1,2
