name,label,predict,summary,description
libsemanage,库,工具, SELinux binary policy manipulation library," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

libsemanage provides an API for the manipulation of SELinux binary policies.
It is used by checkpolicy (the policy compiler) and similar tools, as well
as by programs like load_policy that need to perform specific transformations
on binary policies such as customizing policy boolean settings."
libguestfs-xfs,库,工具, XFS support for libguestfs," This adds XFS support to libguestfs.  Install it if you want to process
disk images containing XFS."
plexus-compiler,库,工具, Compiler call initiators for Plexus," Plexus Compiler adds support for using various compilers from a
unified api. Support for javac is available in main package. For
additional compilers see plexus-compiler-extras package."
gpac,库,工具, MPEG-4 multimedia framework," GPAC is a multimedia framework based on the MPEG-4 Systems standard developed
from scratch in ANSI C.  The original development goal is to provide a clean,
small and flexible alternative to the MPEG-4 Systems reference software.

GPAC features the integration of recent multimedia standards (SVG/SMIL, VRML,
X3D, SWF, 3GPP(2) tools and more) into a single framework. GPAC also features
MPEG-4 Systems encoders/multiplexers, publishing tools for content distribution
for MP4 and 3GPP(2) files and many tools for scene descriptions
(MPEG4 <-> VRML <-> X3D converters, SWF -> MPEG-4, etc)."
ldapjdk,库,工具, LDAP SDK," The Mozilla LDAP SDKs enable you to write applications which access,
manage, and update the information stored in an LDAP directory.

MPLv1.1 or GPLv2+ or LGPLv2+ docs/ldapjdk/license.txt"
libnbd-bash-completion,库,工具, Bash tab-completion for libnbd," Install this package if you want intelligent bash tab-completion
for libnbd."
libreoffice-sdk,库,工具, Software Development Kit for LibreOffice," The LibreOffice SDK is an add-on for the LibreOffice office suite. It provides
the necessary tools for programming using the LibreOffice APIs and for creating
extensions (UNO components) for LibreOffice.  To set the build environment for
building against the sdk use /usr/lib64/libreoffice/sdk/setsdkenv_unix.sh."
redhat-lsb-submod-security,库,其它, LSB Security submodule support," The Linux Standard Base (LSB) Security submodule specifications define
components that are required to be present on an LSB conforming system."
python3-argcomplete,库,工具, Bash tab completion for argparse," Argcomplete provides easy, extensible command line tab completion of
arguments for your Python script.

It makes two assumptions:

 * You are using bash as your shell
 * You are using argparse to manage your command line arguments/options

Argcomplete is particularly useful if your program has lots of
options or subparsers, and if your program can dynamically suggest
completions for your argument/option values (for example, if the user
is browsing resources over the network).

Python 3 version."
perl-Search-Dict,库,工具, Search for a key in a dictionary file," This module sets file position in a file handle to be first line greater than
or equal (string-wise) to a key."
istack-commons,库,工具, Common code for some Glassfish projects," Code shared between JAXP, JAXB, SAAJ, and JAX-WS projects."
fence-virtd-cpg,库,服务, CPG/libvirt backend for fence-virtd," Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes."
gtk3-immodule-xim,库,工具, XIM support for GTK+, The gtk3-immodule-xim package contains XIM support for GTK+ 3.
abrt-libs,库,工具, Libraries for abrt, Libraries for abrt.
libsepol,库,工具, SELinux binary policy manipulation library," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

libsepol provides an API for the manipulation of SELinux binary policies.
It is used by checkpolicy (the policy compiler) and similar tools, as well
as by programs like load_policy that need to perform specific transformations
on binary policies such as customizing policy boolean settings."
libstoragemgmt-udev,库,工具,Udev files for libstoragemgmt ,"The libstoragemgmt-udev package contains udev rules and helper utilities for
uevents generated by the kernel. "
httpcomponents-client-cache,库,工具, Cache module for httpcomponents-client, This package provides client side caching for httpcomponents-client.
gtk2-immodule-xim,库,工具, XIM support for GTK+, The gtk2-immodule-xim package contains XIM support for GTK+.
perl-Import-Into,库,工具, Import packages into other packages," Loading Import::Into creates a global method import::into which you can call on
any package to import it into another package."
prometheus-jmx-exporter,库,服务, Prometheus JMX Exporter," JMX to Prometheus exporter: a collector that can be configured to scrape
and expose MBeans of a JMX target. This exporter is intended to be run as
a Java Agent, exposing a HTTP server and serving metrics of the local JVM."
objectweb-asm,库,工具, Java bytecode manipulation and analysis framework," ASM is an all purpose Java bytecode manipulation and analysis
framework.  It can be used to modify existing classes or dynamically
generate classes, directly in binary form.  Provided common
transformations and analysis algorithms allow to easily assemble
custom complex transformations and code analysis tools."
opencl-filesystem,库,工具, OpenCL filesystem layout, This package provides some directories required by packages which use OpenCL.
clufter-lib-pcs,库,工具, Extra plugins for transforming/analyzing Pacemaker configuration," This package contains set of additional plugins targeting Pacemaker cluster
configuration: either experimental commands or internally unused, reusable
formats and filters."
perl-IPC-Cmd,库,工具, Finding and running system commands made easy," IPC::Cmd allows you to run commands platform independently, interactively
if desired, but have them still work."
jdepend,库,工具, Java Design Quality Metrics," JDepend traverses a set of Java class and source file directories and
generates design quality metrics for each Java package. JDepend allows
you to automatically measure the quality of a design in terms of its
extensibility, reusability, and maintainability to effectively manage
and control package dependencies."
liblangtag-gobject,库,工具, GObject introspection for liblangtag," The liblangtag-gobject package contains files for GObject introspection for
liblangtag."
apache-commons-beanutils,库,工具, Java utility methods for accessing and modifying the properties of arbitrary JavaBeans," The scope of this package is to create a package of Java utility methods
for accessing and modifying the properties of arbitrary JavaBeans.  No
dependencies outside of the JDK are required, so the use of this package
is very lightweight."
unicode-ucd,库,工具, Unicode Character Database," The Unicode Character Database (UCD) consists of a number of data files listing
Unicode character properties and related data. It also includes data files
containing test data for conformance to several important Unicode algorithms."
elfutils-libs,库,工具, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries."
clufter-lib-ccs,库,工具, Extra plugins for transforming/analyzing CMAN configuration," This package contains set of additional plugins targeting CMAN cluster
configuration: either experimental commands or internally unused, reusable
formats and filters."
perl-bignum,库,工具, Transparent big number support for Perl," This package attempts to make it easier to write scripts that use BigInts and
BigFloats in a transparent way."
perl-App-cpanminus,库,工具," Get, unpack, build and install CPAN modules"," Why? It's dependency free, requires zero configuration, and stands alone
but it's maintainable and extensible with plug-ins and friendly to shell
scripting. When running, it requires only 10 MB of RAM."
rubygem-diff-lcs,库,工具, Provide a list of changes between two sequenced collections," Diff::LCS computes the difference between two Enumerable sequences using the
McIlroy-Hunt longest common subsequence (LCS) algorithm. It includes utilities
to create a simple HTML diff output format and a standard diff-like tool."
libguestfs-gfs2,库,工具, GFS2 support for libguestfs," This adds GFS2 support to libguestfs.  Install it if you want to process
disk images containing GFS2."
