idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable process store support transparent user
2,GeoIP-GeoLite-data,库,服务,address available com contain country create data database free http include ipv4 ipv6 number package plus product www
3,HdrHistogram_c,工具,库,dynamic high port range
4,Judy,其它,库,advantage array available benefit consume core declare design dynamic dynamically efficiency element extensible general high implement large library machine memory number performance pre provide purpose scalability scale simply size sparse state technology
6,ModemManager,工具,服务,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate networkmanager package plug plugin server software
11,PackageKit,库,服务,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
15,Xaw3d,工具,服务,application change code dimensional enhanced incorporate install like look minimal source version widget window
18,abrt,工具,服务,access addon analyze analyzer application automatic base build catch client collect command configuration console contain container convenient count crash create data dbus default desktop detect detection easy enable environment event exception extend file freedesktop functionality generate generation graphical gtk gui handle help helper high hook improved information install installation interface kernel level libraries line make manipulate necessary need non notification org package plugin policykit print problem process program provide python query report reporting script service shell simple small storage tool usage user virtual xorg
19,abrt-java-connector,库,服务,agent capable convert exception java library problem process provide transform
20,accel-config,工具,库,config configuration configure device libraries library subsystem utility
21,accountsservice,库,服务,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
23,acpica-tools,工具,服务,advanced architecture assist basic binary code codes command comparison compiles complete component configuration contain contains content current data debug definition develop development directly display environment execution extract extraction file firmware following format help host implementation inclusion independent input instal integrate interface kernel language license machine manipulate message method need operation order os output package performs portion power project provide purpose reference release resident small source space specific specification subsystem suitable table tool tree user version write
27,adobe-mappings-pdf,工具,其它,adobe application character code different file function ghostscript mapping properly resource share structure syntax type useful variety
28,adwaita-icon-theme,服务,其它,contain cursor design desktop gnome icon modern originally package theme
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
32,alsa-plugins,工具,其它,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
35,alsa-utils,工具,库,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
37,anaconda,工具,服务,anaconda boot contain core custom depend dependency disk dracut driver environment graphical gtk handle http include initial install installation installer interface list local main make module option package possible program pull runtime server setup specific task textual time user widget
40,anolis-release,服务,工具,anolis file package release repository signature
