name,label,text,summary,description
389-ds-base,系统, 389 Directory Server (base)  389 Directory Server is an LDAPv3 compliant server.  The base package includes the LDAP server and command line utilities for server administration., 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration."
389-ds-base-legacy-tools,系统," Legacy utilities for 389 Directory Server  Legacy (and deprecated) utilities for 389 Directory Server. This includes the old account management and task scripts. These are deprecated in favour of the dscreate, dsctl, dsconf and dsidm tools.", Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools."
389-ds-base-libs,系统, Core libraries for 389 Directory Server  Core libraries for the 389 Directory Server base package.  These libraries are used by the main package and the -devel package.  This allows the -devel package to be installed with just the -libs package and without the main package., Core libraries for 389 Directory Server," Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package."
389-ds-base-snmp,系统, SNMP Agent for 389 Directory Server  SNMP Agent for the 389 Directory Server base package., SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
python3-lib389,系统," A library for accessing, testing, and configuring the 389 Directory Server  This module contains tools and libraries for accessing, testing,  and configuring the 389 Directory Server."," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server."
liba52,系统," A free ATSC A/52 stream decoder, also known as AC-3 or AC3  liba52 is a free library for decoding ATSC A/52 streams. The A/52 standard is used in a variety of applications, including digital television and DVD. It is also known as AC-3 or AC3"," A free ATSC A/52 stream decoder, also known as AC-3 or AC3"," liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3"
aajohan-comfortaa-fonts,其它," Modern style true type font  Comfortaa is a sans-serif font comfortable in every aspect with Bold, Regular, and Thin variants. It has very good European language coverage and decent Cyrillic coverage.", Modern style true type font," Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage."
abattis-cantarell-fonts,其它," Cantarell, a Humanist sans-serif font family  Cantarell is a set of fonts designed by Dave Crossland. It is a sans-serif humanist typeface family."," Cantarell, a Humanist sans-serif font family"," Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family."
abrt,应用, Automatic bug detection and reporting tool  abrt is a tool to help users to detect defects in applications and to create a bug report with all information needed by maintainer to fix it. It uses plugin system to extend its functionality., Automatic bug detection and reporting tool," abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality."
abrt-addon-ccpp,应用, abrt's C/C++ addon  This package contains abrt's C/C++ analyzer plugin., abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.
abrt-addon-coredump-helper,应用, abrt's /proc/sys/kernel/core_pattern helper  This package contains hook for C/C++ crashed programs., abrt's /proc/sys/kernel/core_pattern helper, This package contains hook for C/C++ crashed programs.
abrt-addon-kerneloops,应用, abrt's kerneloops addon  This package contains plugin for collecting kernel crash information from system log., abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log."
abrt-addon-pstoreoops,应用, abrt's pstore oops addon  This package contains plugin for collecting kernel oopses from pstore storage., abrt's pstore oops addon, This package contains plugin for collecting kernel oopses from pstore storage.
abrt-addon-vmcore,应用, abrt's vmcore addon  This package contains plugin for collecting kernel crash information from vmcore files., abrt's vmcore addon," This package contains plugin for collecting kernel crash information from
vmcore files."
abrt-addon-xorg,应用, abrt's Xorg addon  This package contains plugin for collecting Xorg crash information from Xorg log., abrt's Xorg addon," This package contains plugin for collecting Xorg crash information from Xorg
log."
