name,label,predict,summary,description
perl-libnetcfg,库,工具, Configure libnet, The libnetcfg utility can be used to configure the libnet.
java-11-alibaba-dragonwell-headless-fastdebug,库,工具, Alibaba Dragonwell11 Runtime Environment headless fastdebug, Alibaba Dragonwell11 Runtime Environment headless fastdebug
anolis-logos-httpd,库,工具,Anolis OS related icons and pictures used by httpd ,"Licensed only for approved usage, see COPYING for details. "
qt5-linguist,库,工具, Qt5 Linguist Tools, Tools to add translations to Qt5 applications.
ibacm,库,服务, InfiniBand Communication Manager Assistant," The ibacm daemon helps reduce the load of managing path record lookups on
large InfiniBand fabrics by providing a user space implementation of what
is functionally similar to an ARP cache.  The use of ibacm, when properly
configured, can reduce the SA packet load of a large IB cluster from O(n^2)
to O(n).  The ibacm daemon is started and normally runs in the background,
user applications need not know about this daemon as long as their app
uses librdmacm to handle connection bring up/tear down.  The librdmacm
library knows how to talk directly to the ibacm daemon to retrieve data."
libxshmfence,库,服务, X11 shared memory fences," Shared memory fences for X11, as used in DRI3."
texlive-collection-fontsrecommended,库,工具, Recommended fonts," Recommended fonts, including the base 35 PostScript fonts,
Latin Modern, TeX Gyre, and T1 and other encoding support for
Computer Modern, in outline form."
swig-gdb,库,工具, Commands for easier debugging of SWIG," This package contains file with commands for easier debugging of SWIG
in gdb."
libreport-anaconda,库,工具, Default configuration for reporting anaconda bugs," Default configuration for reporting Anaconda problems or uploading the gathered
data over ftp/scp..."
postfix-mysql,库,工具, Postfix MySQL map support," This provides support for MySQL maps in Postfix. If you plan to use MySQL
maps with Postfix, you need this."
libsemanage,库,工具, SELinux binary policy manipulation library," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

libsemanage provides an API for the manipulation of SELinux binary policies.
It is used by checkpolicy (the policy compiler) and similar tools, as well
as by programs like load_policy that need to perform specific transformations
on binary policies such as customizing policy boolean settings."
libguestfs-xfs,库,工具, XFS support for libguestfs," This adds XFS support to libguestfs.  Install it if you want to process
disk images containing XFS."
