name,label,predict,summary,description
389-ds-base-legacy-tools,工具,服务, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools."
abrt-addon-xorg,工具,库, abrt's Xorg addon," This package contains plugin for collecting Xorg crash information from Xorg
log."
abrt-dbus,服务,工具, ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
python3-abrt,库,工具, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
python3-abrt-addon,库,工具, abrt's addon for catching and analyzing Python 3 exceptions," This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs."
python3-abrt-container-addon,库,工具, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
accel-config,工具,库, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.
accel-config-libs,库,服务, Configuration library for accelerator subsystem devices, Libraries for accel-config.
accountsservice-libs,库,服务, Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
adcli,工具,服务,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. "
adobe-mappings-pdf,库,其它, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly."
adwaita-cursor-theme,其它,服务, Adwaita cursor theme," The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop."
adwaita-icon-theme,其它,服务, Adwaita icon theme, This package contains the Adwaita icon theme used by the GNOME desktop.
aide,工具,库, Intrusion detection environment," AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-lib,库,服务, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
alsa-sof-firmware,服务,其它,Firmware and topology files for Sound Open Firmware project ,This package contains the firmware binaries for the Sound Open Firmware project. 
alsa-tools-firmware,工具,服务, ALSA tools for uploading firmware to some soundcards," This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards"
alsa-utils-alsabat,工具,服务, Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester," This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library."
amanda,服务,库, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
amanda-libs,库,服务, Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs."
amanda-server,服务,工具, The server side of the AMANDA tape backup system," The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda,工具,服务, Graphical system installer, The anaconda package is a metapackage for the Anaconda installer.
anaconda-core,工具,服务, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
anaconda-gui,工具,服务, Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.
anaconda-tui,工具,服务, Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
anaconda-user-help,工具,库, Content for the Anaconda built-in help system, This package provides content for the Anaconda built-in help system.
annobin,工具,库, Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package."
ansible-freeipa,工具,服务," Roles and playbooks to deploy FreeIPA servers, replicas and clients"," Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
ansible-pcp,工具,服务, Ansible Metric collection for Performance Co-Pilot," A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data."
ant,工具,库, Java build tool," Apache Ant is a Java library and command-line tool whose mission is to
drive processes described in build files as targets and extension
points dependent upon each other.  The main known usage of Ant is the
build of Java applications.  Ant supplies a number of built-in tasks
allowing to compile, assemble, test and run Java applications.  Ant
can also be used effectively to build non Java applications, for
instance C or C++ applications.  More generally, Ant can be used to
pilot any type of process which can be described in terms of targets
and tasks."
ant-testutil,工具,库, Test utility classes for ant, Test utility tasks for ant.
ant-contrib-javadoc,工具,库, Javadoc for ant-contrib, Api documentation for ant-contrib.
apache-commons-parent,库,工具, Apache Commons Parent Pom, The Project Object Model files for the apache-commons packages.
appstream-data,库,服务, Cached AppStream metadata," This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers."
apr-util,工具,库, Apache Portable Runtime Utility library," The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more."
apr-util-ldap,工具,库, APR utility library LDAP support, This package provides the LDAP support for the apr-util.
aqute-bnd,库,工具, BND Tool," The bnd tool helps you create and diagnose OSGi bundles.
The key functions are:
- Show the manifest and JAR contents of a bundle
- Wrap a JAR so that it becomes a bundle
- Create a Bundle from a specification and a class path
- Verify the validity of the manifest entries
The tool is capable of acting as:
- Command line tool
- File format
- Directives
- Use of macros"
arpwatch,工具,服务,Network monitoring tools for tracking IP addresses on a network ,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network. "
aspell,工具,库, Spell checker," GNU Aspell is a spell checker designed to eventually replace Ispell. It can
either be used as a library or as an independent spell checker. Its main
feature is that it does a much better job of coming up with possible
suggestions than just about any other spell checker out there for the
English language, including Ispell and Microsoft Word. It also has many
other technical enhancements over Ispell such as using shared memory for
dictionaries and intelligently handling personal dictionaries when more
than one Aspell process is open at once."
at-spi2-core,库,服务, Protocol definitions and daemon for D-Bus at-spi," at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol."
libattr,工具,库, Dynamic library for extended attribute support," This package contains the libattr.so dynamic library which contains
the extended attribute system calls and library functions."
audit,工具,服务, User space tools for kernel auditing," The audit package contains the user space utilities for
storing and searching the audit records generated by
the audit subsystem in the Linux 2.6 and later kernels."
augeas,库,工具,A library for changing configuration files ,"A library for programmatically editing configuration files. Augeas parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files.

The transformation works very hard to preserve comments and formatting
details. It is controlled by ``lens'' definitions that describe the file
format and the transformation into a tree. "
authselect-libs,库,工具, Utility library used by the authselect tool," Common library files for authselect. This package is used by the authselect
command line tool and any other potential front-ends."
autofs,服务,工具,A tool for automatically mounting and unmounting filesystems ,"autofs is a daemon which automatically mounts filesystems when you use
them, and unmounts them later when you are not using them.  This can
include network filesystems, CD-ROMs, floppies, and so forth. "
autogen,工具,库, Automated text file generator," AutoGen is a tool designed to simplify the creation and maintenance of
programs that contain large amounts of repetitious text. It is especially
valuable in programs that have several blocks of text that must be kept
synchronised."
autotrace,工具,库, Utility for converting bitmaps to vector graphics," AutoTrace is a program for converting bitmaps to vector graphics.

Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output
can be produced in Postscript, SVG, xfig, SWF, and others."
avahi-ui,工具,服务, Gtk user interface library for Avahi (Gtk+ 2 version), This library contains a Gtk 2.x widget for browsing services.
avahi-ui-gtk3,工具,库, Gtk user interface library for Avahi (Gtk+ 3 version), This library contains a Gtk 3.x widget for browsing services.
python3-avahi,库,服务,Python3 Avahi bindings ,Python3 Avahi bindings. 
babel,工具,库, Tools for internationalizing Python applications," Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
babl-devel-docs,库,工具, Documentation for developing programs that will use babl, This package contains documentation needed for developing with babl.
bacula-common,工具,服务, Common Bacula files," Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains files common to all Bacula daemons."
bacula-logwatch,工具,库, Bacula Director logwatch scripts," Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains logwatch scripts for Bacula Director."
baobab,工具,库, A graphical directory tree analyzer," Baobab is able to scan either specific directories or the whole filesystem, in
order to give the user a graphical tree representation including each
directory size or percentage in the branch.  It also auto-detects in real-time
any change made to your home folder as far as any mounted/unmounted device."
basesystem,服务,其它, The skeleton package which defines a simple  system," Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed."
