name,label,summary,description,predict
389-ds-base-legacy-tools,系统, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.",系统
389-ds-base-snmp,系统, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.,应用
python3-lib389,系统," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.",系统
abattis-cantarell-fonts,其它," Cantarell, a Humanist sans-serif font family"," Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.",其它
abrt-addon-ccpp,应用, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.,应用
abrt-addon-kerneloops,应用, abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log.",应用
abrt-cli,应用, Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment.",应用
abrt-gui,应用, abrt's gui, GTK+ wizard for convenient bug reporting.,应用
abrt-libs,应用, Libraries for abrt, Libraries for abrt.,应用
abrt-tui,应用, abrt's command line interface," This package contains a simple command line client for processing abrt reports
in command line environment.",应用
python3-abrt,应用, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.",应用
python3-abrt-container-addon,应用, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container.",应用
accel-config,应用, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.,应用
libacl,核心, Dynamic library for access control list support," This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.",核心
acpid,系统, ACPI Event Daemon, acpid is a daemon that dispatches ACPI events to user-space programs.,系统
alsa-plugins-arcamav,系统, Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.",系统
alsa-plugins-oss,系统, Oss PCM output plugin for ALSA," This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".",系统
alsa-plugins-pulseaudio,系统, Alsa to PulseAudio backend," This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.",系统
alsa-plugins-samplerate,系统, External rate converter plugin for ALSA," This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.",系统
amanda-libs,应用, Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs.",系统
anaconda-install-env-deps,系统, Installation environment specific dependencies," The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.",应用
anaconda-widgets,系统, A set of custom GTK+ widgets for use with anaconda, This package contains a set of custom GTK+ widgets used by the anaconda installer.,应用
annobin,应用, Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.",系统
anolis-logos-ipa,核心, Anolis OS related icons and pictures used by ipa," Licensed only for approved usage, see COPYING for details.",核心
anolis-epao-release,核心, EPAO Packages for Anolis OS 8 repository configuration," This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.",核心
anolis-gpg-keys,核心, Anolis OS RPM keys, Anolis OS RPM signature keys,核心
