name,label,bert_pred,rf_pred,summary,description
podman-plugins,工具,服务,库, Plugins for podman," This plugin sets up the use of dnsmasq on a given CNI network so
that Pods can resolve each other by name.  When configured,
the pod and its IP address are added to a network specific hosts file
that dnsmasq will read in.  Similarly, when a pod
is removed from the network, it will remove the entry from the hosts
file.  Each CNI network will have its own dnsmasq instance."
hyphen-be,工具,库,库, Belarusian hyphenation rules, Belarusian hyphenation rules.
fwupdate-efi,工具,库,库, UEFI binaries used by libfwup, UEFI binaries used by libfwup.
vulkan-validation-layers,工具,库,库, Vulkan validation layers, Vulkan validation layers
dpa-ext-gnomekeyring,工具,服务,服务, GNOME keyring extension for dde-polkit-agent., DDE Polkit Agent extension to automatically do some thing with GNOME keyring.
gedit-plugin-findinfiles,工具,服务,服务, gedit findinfiles plugin, The gedit findinfiles plugin.
python3-wx-siplib,工具,库,库, SIP - Python 3/C++ Bindings Generator for wx," This is the Python 3 build of wx-siplib.


SIP is a tool for generating bindings for C++ classes so that they can be
accessed as normal Python classes. SIP takes many of its ideas from SWIG but,
because it is specifically designed for C++ and Python, is able to generate
tighter bindings. SIP is so called because it is a small SWIG.

SIP was originally designed to generate Python bindings for KDE and so has
explicit support for the signal slot mechanism used by the Qt/KDE class
libraries. However, SIP can be used to generate Python bindings for any C++
class library."
micropipenv,工具,库,库, A simple wrapper around pip to support Pipenv and Poetry files," A lightweight wrapper for pip to support Pipenv and Poetry lock files or
converting them to pip-tools compatible output."
motif,工具,库,库, Run-time libraries and programs," This is the Motif 2.3.4 run-time environment. It includes the
Motif shared libraries, needed to run applications which are dynamically
linked against Motif and the Motif Window Manager mwm."
python3-unbound,工具,库,库, Python 3 modules and extensions for unbound, Python 3 modules and extensions for unbound
hyphen-sr,工具,库,库, Serbian hyphenation rules, Serbian hyphenation rules.
eclipse-emf-xsd,工具,库,库, XML Schema Definition (XSD) Eclipse plug-in," The XML Schema Definition (XSD) plug-in is a library that provides an API for
manipulating the components of an XML Schema as described by the W3C XML
Schema specifications, as well as an API for manipulating the DOM-accessible
representation of XML Schema as a series of XML documents."
wpa_supplicant,工具,服务,库,WPA/WPA2/IEEE 802.1X Supplicant ,"wpa_supplicant is a WPA Supplicant for Linux, BSD and Windows with support
for WPA and WPA2 (IEEE 802.11i / RSN). Supplicant is the IEEE 802.1X/WPA
component that is used in the client stations. It implements key negotiation
with a WPA Authenticator and it controls the roaming and IEEE 802.11
authentication/association of the wlan driver. "
maven-doxia-modules,工具,库,库, Doxia modules for several markup languages., This package provides Doxia modules for several markup languages..
hyphen-nb,工具,库,库, Bokmaal hyphenation rules, Bokmaal hyphenation rules.
gstreamer-tools,工具,库,库, common tools and files for GStreamer streaming media framework," GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plugins.

This package contains wrapper scripts for the command-line tools that work
with different major/minor versions of GStreamer."
pam,工具,库,库,An extensible library which provides authentication for applications ,"PAM (Pluggable Authentication Modules) is a system security tool that
allows system administrators to set authentication policy without
having to recompile programs that handle authentication. "
python3-libmount,工具,库,库, Python bindings for the libmount library," The libmount-python package contains a module that permits applications
written in the Python programming language to use the interface
supplied by the libmount library to work with mount tables (fstab,
mountinfo, etc) and mount filesystems."
grub2-common,工具,库,库, grub2 common layout," This package provides some directories which are required by various grub2
subpackages."
syslinux-tftpboot,工具,服务,库,"SYSLINUX modules in /tftpboot, available for network booting ","All the SYSLINUX/PXELINUX modules directly available for network
booting in the /tftpboot directory. "
apr-util-odbc,工具,库,库, APR utility library ODBC DBD driver," This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface."
