,name,label,text,y,y_predict
4563,perl-Mail-SPF,库,Mail::SPF is an object-oriented implementation of Sender Policy Framework(SPF). See http://www.openspf.org for more information about SPF.Object-oriented implementation of Sender Policy Framework,0,0
3784,mpv,工具,"Mpv is a movie player based on MPlayer and mplayer2. It supports a wide varietyof video file formats, audio and video codecs, and subtitle types. Specialinput URL types are available to read input from a variety of sources otherthan disk files. Depending on platform, a variety of different video and audiooutput methods are supported.Movie player playing most video formats and DVDs",1,2
3043,libreoffice-langpack-nso,库,Provides additional Northern translations and resources for LibreOffice.Northern language pack for LibreOffice,0,0
2569,langpacks-vi,服务,This package provides Vietnamese langpacks meta-package.Vietnamese langpacks meta-package,2,2
536,criu-libs,库,This package contains the libraries for criuLibraries for criu,0,2
1505,google-noto-sans-armenian-fonts,其它,Noto fonts aims to remove tofu from web by providing fonts for allUnicode supported scripts. Its design goal is to achieve visual harmonizationbetween multiple scripts. Noto family supports almost all scripts availablein Unicode.Noto Sans font for Armenian.Sans Armenian font,3,3
4932,postgresql-upgrade,服务,The postgresql-upgrade package contains the pg_upgrade utility and supportingfiles needed for upgrading a PostgreSQL database from the previous majorversion of PostgreSQL.Support for upgrading from the previous major release of PostgreSQL,2,1
75,annobin,工具,Provides a plugin for GCC that records extra information in the filesthat it compiles.Note - the plugin is automatically enabled in gcc builds via flagsprovided by the redhat-rpm-macros package.Annotate and examine compiled binary files,1,1
3185,libunistring,库,"GNU Unicode string libraryThis portable C library implements Unicode string types in three flavours:(UTF-8, UTF-16, UTF-32), together with functions for character processing(names, classifications, properties) and functions for string processing(iteration, formatted output, width, word breaks, line breaks, normalization,case folding and regular expressions).",0,0
3654,mingw64-cairo,工具,MinGW Windows Cairo library.MinGW Windows Cairo library,1,0
1354,glibmm24,库,glibmm is the official C++ interface for the popular cross-platformlibrary GLib. It provides non-UI API that is not available in standardC++ and makes it possible for gtkmm to wrap GObject-based APIs.C++ interface for the GLib library,0,0
2692,liberation-mono-fonts,其它,"The Liberation Fonts are intended to be replacements for the 3 most commonlyused fonts on Microsoft systems: Times New Roman, Arial, and Courier New.This package provides Monospace TrueType fonts that replace commonly usedMicrosoft Courier New.Monospace fonts to replace commonly used Microsoft Courier New",3,3
5341,qt5-qtconnectivity-examples,库,Programming examples for qt5-qtconnectivity.Programming examples for qt5-qtconnectivity,0,0
6671,xorg-x11-drv-ati,服务,X.Org X11 ati video driver.Xorg X11 ati video driver,2,2
