name,label,summary,description,predict
liba52,系统," A free ATSC A/52 stream decoder, also known as AC-3 or AC3"," liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3",应用
abattis-cantarell-fonts,其它," Cantarell, a Humanist sans-serif font family"," Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.",其它
abrt-addon-ccpp,应用, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.,应用
abrt-addon-pstoreoops,应用, abrt's pstore oops addon, This package contains plugin for collecting kernel oopses from pstore storage.,应用
abrt-addon-xorg,应用, abrt's Xorg addon," This package contains plugin for collecting Xorg crash information from Xorg
log.",应用
abrt-cli,应用, Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment.",应用
abrt-desktop,应用, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment.",应用
abrt-gui-libs,应用, Libraries for abrt-gui, Libraries for abrt-gui.,应用
abrt-libs,应用, Libraries for abrt, Libraries for abrt.,应用
python3-abrt-container-addon,应用, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container.",应用
accountsservice-libs,应用, Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.",应用
