name,label,summary,description,predict
389-ds-base,系统, 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",系统
389-ds-base-libs,系统, Core libraries for 389 Directory Server," Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.",系统
python3-lib389,系统," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.",系统
aajohan-comfortaa-fonts,其它, Modern style true type font," Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.",其它
abrt,应用, Automatic bug detection and reporting tool," abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.",应用
abrt-addon-ccpp,应用, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.,应用
abrt-addon-coredump-helper,应用, abrt's /proc/sys/kernel/core_pattern helper, This package contains hook for C/C++ crashed programs.,应用
abrt-addon-pstoreoops,应用, abrt's pstore oops addon, This package contains plugin for collecting kernel oopses from pstore storage.,应用
abrt-addon-xorg,应用, abrt's Xorg addon," This package contains plugin for collecting Xorg crash information from Xorg
log.",应用
abrt-console-notification,应用, ABRT console notification script," A small script which prints a count of detected problems when someone logs in
to the shell",应用
abrt-desktop,应用, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment.",应用
abrt-gui-libs,应用, Libraries for abrt-gui, Libraries for abrt-gui.,应用
abrt-libs,应用, Libraries for abrt, Libraries for abrt.,应用
python3-abrt-addon,应用, abrt's addon for catching and analyzing Python 3 exceptions," This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.",应用
python3-abrt-container-addon,应用, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container.",应用
abrt-java-connector,应用, JNI Agent library converting Java exceptions to ABRT problems," JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems",应用
accountsservice-libs,应用, Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.",应用
acpica-tools,系统,ACPICA tools for the development and debug of ACPI tables ,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license. ",系统
adobe-mappings-cmap,应用, CMap resources for Adobe's character collections," CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.",应用
adobe-mappings-cmap-deprecated,应用, Deprecated CMap resources for Adobe's character collections," This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly.",应用
adobe-mappings-pdf,应用, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",应用
adwaita-qt5,应用, Adwaita Qt5 theme, Adwaita theme variant for applications utilizing Qt5.,应用
libadwaita-qt5,应用, Adwaita Qt5 library, Adwaita Qt5 library.,应用
alsa-plugins-arcamav,系统, Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.",系统
alsa-plugins-oss,系统, Oss PCM output plugin for ALSA," This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".",系统
alsa-plugins-pulseaudio,系统, Alsa to PulseAudio backend," This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.",系统
alsa-plugins-upmix,系统, Upmixer channel expander plugin for ALSA," The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.",系统
alsa-sof-firmware,系统,Firmware and topology files for Sound Open Firmware project ,This package contains the firmware binaries for the Sound Open Firmware project. ,其它
alsa-tools-firmware,系统, ALSA tools for uploading firmware to some soundcards," This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards",应用
alsa-utils,系统, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).",系统
amanda-libs,应用, Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs.",系统
anaconda,系统, Graphical system installer, The anaconda package is a metapackage for the Anaconda installer.,系统
anaconda-gui,系统, Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.,应用
anaconda-install-env-deps,系统, Installation environment specific dependencies," The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.",应用
