name,label,bert_graph_pred,summary,description
hplip-common,工具,库, Files needed by the HPLIP printer and scanner drivers, Files needed by the HPLIP printer and scanner drivers.
texlive-memoir,库,工具," Typeset fiction, non-fiction and mathematical books"," The memoir class is for typesetting poetry, fiction, non-
fiction, and mathematical works. Permissible document 'base'
font sizes range from 9 to 60pt. There is a range of page-
styles and well over a dozen chapter-styles to choose from, as
well as methods for specifying your own layouts and designs.
The class also provides the functionality of over thirty of the
more popular packages, thus simplifying document sources. The
class automatically loads an associated patch file mempatch;
the patch file may be updated from time to time, between
releases of the class itself. (The patch file stays around even
when there are no extant patches.) Users who wish to use the
hyperref package, in a document written with the memoir class,
should also use the memhfixc package (part of this bundle).
Note, however, that current versions of hyperref actually load
the package automatically if they detect that they are running
under memoir."
gedit-plugin-terminal,库,服务, gedit terminal plugin, The gedit terminal plugin.
cockpit-storaged,服务,库," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
ibus-typing-booster,工具,库, A completion input method," Ibus-typing-booster is a context sensitive completion
input method to speedup typing."
python3-ipaclient,库,工具, Python libraries used by IPA client," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If your network uses IPA for authentication, this package should be
installed on every client machine."
polardb,服务,库, An open-source database system based on PostgreSQL., PolarDB for PostgreSQL (PolarDB for short) is an open-source database system based on PostgreSQL.
weld-parent,库,工具, Parent POM for Weld, Parent POM for Weld
mysql,工具,服务, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
texlive-sepnum,库,工具," Print numbers in a ""friendly"" format"," Provides a command to print a number with (potentially
different) separators every three digits in the parts either
side of the decimal point (the point itself is also
configurable). The macro is fully expandable and not fragile
(unless one of the separators is). There is also a command
\sepnumform, that may be used when defining \the<counter>
macros."
libev-source,库,服务, High-performance event loop/event model with lots of features, This package contains the source code for libev.
vid.stab,库,工具," Video stabilize library for fmpeg, mlt or transcode"," Vidstab is a video stabilization library which can be plugged-in with Ffmpeg
and Transcode."
texlive-pxfonts,工具,库, Palatino-like fonts in support of mathematics," Pxfonts supplies virtual text roman fonts using Adobe Palatino
(or URWPalladioL) with some modified and additional text
symbols in the OT1, T1, and TS1 encodings; maths alphabets
using Palatino/Palladio; maths fonts providing all the symbols
of the Computer Modern and AMS fonts, including all the Greek
capital letters from CMR; and additional maths fonts of various
other symbols. The set is complemented by a sans-serif set of
text fonts, based on Helvetica/NimbusSanL, and a monospace set
derived from the parallel TX font set. All the fonts are in
Type 1 format (AFM and PFB files), and are supported by TeX
metrics (VF and TFM files) and macros for use with LaTeX."
greenboot-default-health-checks,服务,工具, Series of optional and curated health checks, Series of optional and curated health checks.
