name,label,bert_graph_pred,summary,description
libogg-devel-docs,库,服务, Documentation for developing Ogg applications, Documentation for developing applications with libogg
e2fsprogs-libs,库,服务, Ext2/3/4 file system specific shared libraries," E2fsprogs-libs contains libe2p and libext2fs, the libraries of the
e2fsprogs package.

These libraries are used to directly access ext2/3/4 file systems
from user space."
golang-race,库,库, Golang std library with -race enabled, Golang std library with -race enabled
perl-Test-Deep,库,服务, Extremely flexible deep comparison," Test::Deep gives you very flexible ways to check that the result you
got is the result you were expecting. At its simplest it compares two
structures by going through each level, ensuring that the values
match, that arrays and hashes have the same elements and that
references are blessed into the correct class. It also handles
circular data structures without getting caught in an infinite loop."
perl-IO-Socket-IP,库,服务, Drop-in replacement for IO::Socket::INET supporting both IPv4 and IPv6," This module provides a protocol-independent way to use IPv4 and IPv6
sockets, intended as a replacement for IO::Socket::INET. Most constructor
arguments and methods are provided in a backward-compatible way."
PackageKit-glib,库,服务, GLib libraries for accessing PackageKit, GLib libraries for accessing PackageKit.
mingw32-libjpeg-turbo-static,库,库, Static version of the MinGW Windows Libjpeg-turbo library, Static version of the MinGW Windows cross compiled Libjpeg-turbo library.
booth-core,工具,服务," Booth core files (executables, etc.)"," Core files (executables, etc.) for Booth, ticket manager for
multi-site clusters."
opensc,库,服务,Smart card library and applications ,"OpenSC provides a set of libraries and utilities to work with smart cards. Its
main focus is on cards that support cryptographic operations, and facilitate
their use in security applications such as authentication, mail encryption and
digital signatures. OpenSC implements the PKCS#11 API so applications
supporting this API (such as Mozilla Firefox and Thunderbird) can use it. On
the card OpenSC implements the PKCS#15 standard and aims to be compatible with
every software/card that does so, too. "
hplip-common,工具,服务, Files needed by the HPLIP printer and scanner drivers, Files needed by the HPLIP printer and scanner drivers.
golang-src,库,库, Golang compiler source tree, Golang compiler source tree
keentune-bench,服务,服务, Benchmark script running models for KeenTune, Benchmark script running models for KeenTune
hunspell-ti,工具,服务, Tigrigna hunspell dictionaries, Tigrigna hunspell dictionaries.
texlive-memoir,库,服务," Typeset fiction, non-fiction and mathematical books"," The memoir class is for typesetting poetry, fiction, non-
fiction, and mathematical works. Permissible document 'base'
font sizes range from 9 to 60pt. There is a range of page-
styles and well over a dozen chapter-styles to choose from, as
well as methods for specifying your own layouts and designs.
The class also provides the functionality of over thirty of the
more popular packages, thus simplifying document sources. The
class automatically loads an associated patch file mempatch;
the patch file may be updated from time to time, between
releases of the class itself. (The patch file stays around even
when there are no extant patches.) Users who wish to use the
hyperref package, in a document written with the memoir class,
should also use the memhfixc package (part of this bundle).
Note, however, that current versions of hyperref actually load
the package automatically if they detect that they are running
under memoir."
apr-util-odbc,库,服务, APR utility library ODBC DBD driver," This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface."
gedit-plugin-terminal,库,服务, gedit terminal plugin, The gedit terminal plugin.
hunspell-mt,工具,服务, Maltese hunspell dictionaries, Maltese hunspell dictionaries.
qt5-qtquickcontrols2,库,服务, Qt5 - module with set of QtQuick controls for embedded," The Qt Labs Controls module provides a set of controls that can be used to
build complete interfaces in Qt Quick.

Unlike Qt Quick Controls, these controls are optimized for embedded systems
and so are preferred for hardware with limited resources."
cockpit-storaged,服务,服务," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
libreoffice-draw,库,服务, LibreOffice Drawing Application, The LibreOffice Drawing Application.
ibus-typing-booster,工具,服务, A completion input method," Ibus-typing-booster is a context sensitive completion
input method to speedup typing."
atinject-javadoc,库,服务, API documentation for atinject, API documentation for atinject.
python3-ipaclient,库,服务, Python libraries used by IPA client," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If your network uses IPA for authentication, this package should be
installed on every client machine."
polardb,服务,服务, An open-source database system based on PostgreSQL., PolarDB for PostgreSQL (PolarDB for short) is an open-source database system based on PostgreSQL.
dde-calendar,工具,服务, Calendar is a smart daily planner to schedule all things in life, Calendar is a smart daily planner to schedule all things in life.
isomd5sum,工具,服务, Utilities for working with md5sum implanted in ISO images," The isomd5sum package contains utilities for implanting and verifying
an md5sum implanted into an ISO9660 image."
weld-parent,库,库, Parent POM for Weld, Parent POM for Weld
mysql,工具,服务, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
perl-overloading,库,服务, Perl pragma to lexically control overloading, Overloading pragma allows you to lexically disable or enable overloading.
