name,label,predict,summary,description
389-ds-base,工具,服务, 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration."
389-ds-base-legacy-tools,工具,服务, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools."
389-ds-base-snmp,工具,服务, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
abrt-addon-ccpp,工具,服务, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.
abrt-addon-kerneloops,工具,服务, abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log."
abrt-dbus,服务,工具, ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
abrt-desktop,服务,工具, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment."
abrt-gui,工具,服务, abrt's gui, GTK+ wizard for convenient bug reporting.
abrt-gui-libs,库,服务, Libraries for abrt-gui, Libraries for abrt-gui.
abrt-libs,库,工具, Libraries for abrt, Libraries for abrt.
abrt-plugin-machine-id,工具,库, abrt's plugin to generate machine_id based off dmidecode," This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events."
python3-abrt,库,工具, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
python3-abrt-addon,库,服务, abrt's addon for catching and analyzing Python 3 exceptions," This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs."
abrt-java-connector,库,服务, JNI Agent library converting Java exceptions to ABRT problems," JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems"
accel-config,工具,库, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.
accel-config-libs,库,服务, Configuration library for accelerator subsystem devices, Libraries for accel-config.
accountsservice-libs,库,服务, Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
acl,工具,库, Access control list utilities," This package contains the getfacl and setfacl utilities needed for
manipulating access control lists."
adobe-mappings-pdf,库,其它, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly."
libadwaita-qt5,库,工具, Adwaita Qt5 library, Adwaita Qt5 library.
aide,工具,库, Intrusion detection environment," AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-lib,库,服务, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
alsa-sof-firmware,服务,其它,Firmware and topology files for Sound Open Firmware project ,This package contains the firmware binaries for the Sound Open Firmware project. 
alsa-utils,工具,服务, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA)."
alsa-utils-alsabat,工具,服务, Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester," This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library."
amanda,服务,库, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
amanda-client,工具,库, The client component of the AMANDA tape backup system," The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine."
amanda-libs,库,服务, Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs."
amanda-server,服务,工具, The server side of the AMANDA tape backup system," The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda,工具,库, Graphical system installer, The anaconda package is a metapackage for the Anaconda installer.
anaconda-core,工具,库, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
anaconda-gui,工具,库, Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.
anaconda-tui,工具,库, Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
anaconda-user-help,工具,库, Content for the Anaconda built-in help system, This package provides content for the Anaconda built-in help system.
annobin,工具,库, Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package."
anolis-backgrounds,工具,服务, Anolis OS related desktop backgrounds," Licensed only for approved usage, see COPYING for details."
anolis-logos-httpd,工具,库,Anolis OS related icons and pictures used by httpd ,"Licensed only for approved usage, see COPYING for details. "
anolis-logos-ipa,工具,库, Anolis OS related icons and pictures used by ipa," Licensed only for approved usage, see COPYING for details."
anolis-epao-release,服务,库, EPAO Packages for Anolis OS 8 repository configuration," This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum."
anolis-experimental-release,服务,库, Experimental Packages for Anolis OS 8 repository configuration," This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum."
anolis-release,服务,库,Anolis OS 8 release file ,Anolis OS 8 release files 
anolis-repos,服务,库,Anolis OS package repositories ,Anolis OS package repository files for yum and dnf 
ansible-collection-microsoft-sql,工具,服务, The Ansible collection for Microsoft SQL Server management," This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9."
ansible-core,工具,库," SSH-based configuration management, deployment, and task execution system"," Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically."
ansible-freeipa,工具,服务," Roles and playbooks to deploy FreeIPA servers, replicas and clients"," Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
ansible-pcp,工具,服务, Ansible Metric collection for Performance Co-Pilot," A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data."
ant-antlr,库,工具, Optional antlr tasks for ant, Optional antlr tasks for ant.
ant-apache-bcel,库,工具, Optional apache bcel tasks for ant, Optional apache bcel tasks for ant.
ant-apache-bsf,库,工具, Optional apache bsf tasks for ant, Optional apache bsf tasks for ant.
ant-apache-log4j,库,工具, Optional apache log4j tasks for ant, Optional apache log4j tasks for ant.
ant-apache-oro,库,工具, Optional apache oro tasks for ant, Optional apache oro tasks for ant.
