name,label,bert_pred,graph_pred,summary,description
booth-core,工具,库,库," Booth core files (executables, etc.)"," Core files (executables, etc.) for Booth, ticket manager for
multi-site clusters."
opensc,库,库,服务,Smart card library and applications ,"OpenSC provides a set of libraries and utilities to work with smart cards. Its
main focus is on cards that support cryptographic operations, and facilitate
their use in security applications such as authentication, mail encryption and
digital signatures. OpenSC implements the PKCS#11 API so applications
supporting this API (such as Mozilla Firefox and Thunderbird) can use it. On
the card OpenSC implements the PKCS#15 standard and aims to be compatible with
every software/card that does so, too. "
hplip-common,工具,服务,服务, Files needed by the HPLIP printer and scanner drivers, Files needed by the HPLIP printer and scanner drivers.
texlive-memoir,库,工具,工具," Typeset fiction, non-fiction and mathematical books"," The memoir class is for typesetting poetry, fiction, non-
fiction, and mathematical works. Permissible document 'base'
font sizes range from 9 to 60pt. There is a range of page-
styles and well over a dozen chapter-styles to choose from, as
well as methods for specifying your own layouts and designs.
The class also provides the functionality of over thirty of the
more popular packages, thus simplifying document sources. The
class automatically loads an associated patch file mempatch;
the patch file may be updated from time to time, between
releases of the class itself. (The patch file stays around even
when there are no extant patches.) Users who wish to use the
hyperref package, in a document written with the memoir class,
should also use the memhfixc package (part of this bundle).
Note, however, that current versions of hyperref actually load
the package automatically if they detect that they are running
under memoir."
gedit-plugin-terminal,库,服务,服务, gedit terminal plugin, The gedit terminal plugin.
cockpit-storaged,服务,服务,工具," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
ibus-typing-booster,工具,工具,库, A completion input method," Ibus-typing-booster is a context sensitive completion
input method to speedup typing."
polardb,服务,库,库, An open-source database system based on PostgreSQL., PolarDB for PostgreSQL (PolarDB for short) is an open-source database system based on PostgreSQL.
dde-calendar,工具,库,库, Calendar is a smart daily planner to schedule all things in life, Calendar is a smart daily planner to schedule all things in life.
weld-parent,库,库,工具, Parent POM for Weld, Parent POM for Weld
mysql,工具,库,库, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
texlive-sepnum,库,工具,工具," Print numbers in a ""friendly"" format"," Provides a command to print a number with (potentially
different) separators every three digits in the parts either
side of the decimal point (the point itself is also
configurable). The macro is fully expandable and not fragile
(unless one of the separators is). There is also a command
\sepnumform, that may be used when defining \the<counter>
macros."
libev-source,库,服务,服务, High-performance event loop/event model with lots of features, This package contains the source code for libev.
krb5-server,服务,服务,工具, The KDC and related programs for Kerberos 5," Kerberos is a network authentication system. The krb5-server package
contains the programs that must be installed on a Kerberos 5 key
distribution center (KDC).  If you are installing a Kerberos 5 KDC,
you need to install this package (in other words, most people should
NOT install this package)."
enscript,工具,工具,库, A plain ASCII to PostScript converter," GNU enscript is a free replacement for Adobe's Enscript
program. Enscript converts ASCII files to PostScript(TM) and spools
generated PostScript output to the specified printer or saves it to a
file. Enscript can be extended to handle different output media and
includes many options for customizing printouts"
libpath_utils,库,工具,工具, Filesystem Path Utilities, Utility functions to manipulate filesystem pathnames
ffmpegthumbnailer,工具,工具,库, Lightweight video thumbnailer that can be used by file managers, This video thumbnailer can be used to create thumbnails for your video files.
xmvn-parent-pom,库,库,工具, XMvn Parent POM, This package provides XMvn parent POM.
greenboot-default-health-checks,服务,服务,工具, Series of optional and curated health checks, Series of optional and curated health checks.
amanda,服务,服务,库, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
gcc-toolset-11-dyninst,工具,工具,库, An API for Run-time Code Generation," 
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching."
freeradius-sqlite,服务,工具,库, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
orc-compiler,工具,库,库, Orc compiler," The Orc compiler, to produce optimized code."
