name,label,summary,description,predict
389-ds-base-legacy-tools,系统, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.",系统
389-ds-base-snmp,系统, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.,系统
liba52,系统," A free ATSC A/52 stream decoder, also known as AC-3 or AC3"," liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3",应用
abattis-cantarell-fonts,其它," Cantarell, a Humanist sans-serif font family"," Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.",其它
abrt-addon-kerneloops,应用, abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log.",应用
abrt-addon-vmcore,应用, abrt's vmcore addon," This package contains plugin for collecting kernel crash information from
vmcore files.",应用
abrt-cli,应用, Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment.",应用
abrt-cli-ng,应用, abrt's improved command line interface, New generation command line interface for ABRT,应用
abrt-dbus,应用, ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data.",应用
abrt-gui,应用, abrt's gui, GTK+ wizard for convenient bug reporting.,应用
abrt-plugin-machine-id,应用, abrt's plugin to generate machine_id based off dmidecode," This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.",应用
abrt-plugin-sosreport,应用, abrt's plugin for building automatic sosreports," This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events.",应用
abrt-tui,应用, abrt's command line interface," This package contains a simple command line client for processing abrt reports
in command line environment.",应用
python3-abrt,应用, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.",应用
accel-config,应用, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.,系统
accel-config-libs,应用, Configuration library for accelerator subsystem devices, Libraries for accel-config.,系统
accountsservice,应用, D-Bus interfaces for querying and manipulating user account information," The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.",应用
acl,核心, Access control list utilities," This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",系统
libacl,核心, Dynamic library for access control list support," This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.",系统
